unit,unit_type,config,model,seed,macro_f1,n_cols
pos_R5,main,drop_rssi,xgboost::Sensor,42,0.7084282460136674,86
pos_R5,main,drop_rssi,xgboost::Socket,42,1.0,86
pos_R5,main,drop_rssi,lightgbm::Camera,42,0.624561403508772,86
pos_R5,main,drop_rssi,lightgbm::Light_T1,42,0.5521126760563381,86
pos_R5,main,drop_rssi,lightgbm::Light_XM,42,0.7860026917900403,86
pos_R5,main,drop_rssi,lightgbm::Sensor,42,0.7044167610419027,86
pos_R5,main,drop_rssi,lightgbm::Socket,42,1.0,86
pos_R5,main,drop_rssi,stacking::Camera,42,0.632258064516129,86
pos_R5,main,drop_rssi,stacking::Light_T1,42,0.5096870342771982,86
pos_R5,main,drop_rssi,stacking::Light_XM,42,0.7639836289222374,86
pos_R5,main,drop_rssi,stacking::Sensor,42,0.691609977324263,86
pos_R5,main,drop_rssi,stacking::Socket,42,1.0,86
jit_R6,main,drop_rssi,rf,42,0.6983582416835513,86
jit_R6,main,drop_rssi,xgboost,42,0.7392245027348717,86
jit_R6,main,drop_rssi,lightgbm,42,0.7434294873428366,86
jit_R6,main,drop_rssi,stacking,42,0.7467234864287804,86
jit_R6,main,drop_rssi,rf::Camera,42,0.5759162303664922,86
jit_R6,main,drop_rssi,rf::Light_T1,42,0.5898520084566596,86
jit_R6,main,drop_rssi,rf::Light_XM,42,0.5962059620596206,86
jit_R6,main,drop_rssi,rf::Sensor,42,0.7298170075349839,86
jit_R6,main,drop_rssi,rf::Socket,42,1.0,86
jit_R6,main,drop_rssi,xgboost::Camera,42,0.657762938230384,86
jit_R6,main,drop_rssi,xgboost::Light_T1,42,0.6230936819172114,86
jit_R6,main,drop_rssi,xgboost::Light_XM,42,0.6350461133069829,86
jit_R6,main,drop_rssi,xgboost::Sensor,42,0.7802197802197802,86
jit_R6,main,drop_rssi,xgboost::Socket,42,1.0,86
jit_R6,main,drop_rssi,lightgbm::Camera,42,0.6710526315789473,86
jit_R6,main,drop_rssi,lightgbm::Light_T1,42,0.621380846325167,86
jit_R6,main,drop_rssi,lightgbm::Light_XM,42,0.6421052631578947,86
jit_R6,main,drop_rssi,lightgbm::Sensor,42,0.782608695652174,86
jit_R6,main,drop_rssi,lightgbm::Socket,42,1.0,86
jit_R6,main,drop_rssi,stacking::Camera,42,0.6951026856240127,86
jit_R6,main,drop_rssi,stacking::Light_T1,42,0.6283783783783784,86
jit_R6,main,drop_rssi,stacking::Light_XM,42,0.6328437917222964,86
jit_R6,main,drop_rssi,stacking::Sensor,42,0.777292576419214,86
jit_R6,main,drop_rssi,stacking::Socket,42,1.0,86
jit_R7,main,drop_rssi,rf,42,0.7951001444609315,86
jit_R7,main,drop_rssi,xgboost,42,0.8360572426086055,86
jit_R7,main,drop_rssi,lightgbm,42,0.8358327659297284,86
jit_R7,main,drop_rssi,stacking,42,0.8269700693298777,86
jit_R7,main,drop_rssi,rf::Camera,42,0.8125854993160054,86
jit_R7,main,drop_rssi,rf::Light_T1,42,0.6797546012269938,86
jit_R7,main,drop_rssi,rf::Light_XM,42,0.7331606217616581,86
jit_R7,main,drop_rssi,rf::Sensor,42,0.75,86
jit_R7,main,drop_rssi,rf::Socket,42,1.0,86
jit_R7,main,drop_rssi,xgboost::Camera,42,0.8766756032171582,86
