filter_mode,task,task_type,scenario,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,parameter_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,source,iid_mean_macro_f1,ood_drop
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_v3,94,1012154,0.39922907488986786,0.4892131480236371,0.3995921288805019,0.43468232061074097,"{'Camera': 0.7445742904841403, 'Light_T1': 0.0021482277121374865, 'Light_XM': 0.10880829015544041, 'Sensor': 0.31788079470198677, 'Socket': 1.0}","[[223, 0, 108, 32, 0], [3, 1, 249, 112, 0], [3, 316, 42, 2, 0], [7, 249, 10, 96, 0], [0, 0, 0, 0, 363]]",preserved_baseline,0.9310126140102172,0.4963302933994762
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_v5,94,1225296,0.40198237885462557,0.5160021288008314,0.4023332267932971,0.44119427483476803,"{'Camera': 0.7529021558872305, 'Light_T1': 0.0, 'Light_XM': 0.12925969447708577, 'Sensor': 0.3238095238095238, 'Socket': 1.0}","[[227, 0, 114, 22, 0], [5, 0, 306, 54, 0], [1, 305, 55, 2, 0], [7, 257, 13, 85, 0], [0, 0, 0, 0, 363]]",preserved_baseline,0.9199211188133631,0.4787268439785951
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_inception,94,763092,0.43612334801762115,0.5354275971064555,0.4364915094262913,0.4696264459210364,"{'Camera': 0.8473520249221184, 'Light_T1': 0.0022148394241417496, 'Light_XM': 0.16587677725118483, 'Sensor': 0.33268858800773693, 'Socket': 1.0}","[[272, 1, 81, 9, 0], [3, 1, 304, 57, 0], [1, 289, 70, 3, 0], [3, 247, 26, 86, 0], [0, 0, 0, 0, 363]]",strict_split_trained,0.9114532519478077,0.44182680602677127
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_tcn,94,814854,0.46365638766519823,0.5422978523535998,0.46414780584861015,0.49663044684496616,"{'Camera': 0.8220472440944881, 'Light_T1': 0.004678362573099415, 'Light_XM': 0.1457286432160804, 'Sensor': 0.5120772946859904, 'Socket': 0.9986206896551724}","[[261, 0, 83, 19, 0], [4, 2, 283, 76, 0], [1, 299, 58, 5, 0], [6, 189, 8, 159, 0], [0, 0, 1, 0, 362]]",strict_split_trained,0.9295261510087013,0.43289570416373513
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_convnext,94,1079570,0.4713656387665198,0.5406153674797552,0.47173350646610446,0.49318516475522944,"{'Camera': 0.9032258064516129, 'Light_T1': 0.009060022650056626, 'Light_XM': 0.25, 'Sensor': 0.305019305019305, 'Socket': 0.9986206896551724}","[[308, 1, 45, 9, 0], [6, 4, 292, 63, 0], [0, 255, 103, 5, 0], [5, 258, 20, 79, 0], [0, 0, 1, 0, 362]]",strict_split_trained,0.9201687169517787,0.42698355219654927
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_v3,94,1012154,0.6498367244410952,0.7149605561409207,0.6496925766487549,0.6480796704039956,"{'Camera': 0.8784258608573436, 'Light_T1': 0.3836734693877551, 'Light_XM': 0.5166261151662611, 'Sensor': 0.46725949878738887, 'Socket': 0.994413407821229}","[[625, 5, 89, 69, 9], [1, 235, 509, 45, 0], [0, 122, 637, 30, 0], [0, 73, 442, 289, 0], [0, 0, 0, 0, 801]]",preserved_baseline,0.9310126140102172,0.28293294360622157
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_v5,94,1225296,0.6510926902788244,0.712041412447108,0.6510088823713845,0.6486731926391436,"{'Camera': 0.8870292887029289, 'Light_T1': 0.39203187250996013, 'Light_XM': 0.5206375153248877, 'Sensor': 0.44553644553644556, 'Socket': 0.9981308411214953}","[[636, 11, 76, 71, 3], [1, 246, 497, 46, 0], [0, 124, 637, 28, 0], [0, 84, 448, 272, 0], [0, 0, 0, 0, 801]]",preserved_baseline,0.9199211188133631,0.27124792617421956
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_inception,94,763092,0.6634011554885707,0.7102734170533943,0.663262314563998,0.6685843702540277,"{'Camera': 0.8854748603351955, 'Light_T1': 0.4674983585029547, 'Light_XM': 0.5114112715416861, 'Sensor': 0.4785373608903021, 'Socket': 1.0}","[[634, 35, 62, 66, 0], [1, 356, 378, 55, 0], [0, 208, 549, 32, 0], [0, 134, 369, 301, 0], [0, 0, 0, 0, 801]]",strict_split_trained,0.9114532519478077,0.24286888169377996
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_tcn,94,814854,0.6528510424516453,0.6975876625976966,0.6529370934909041,0.6525225173680423,"{'Camera': 0.8809523809523809, 'Light_T1': 0.4774011299435028, 'Light_XM': 0.5201401050788091, 'Sensor': 0.3853658536585366, 'Socket': 0.9987531172069826}","[[629, 8, 50, 108, 2], [0, 338, 401, 51, 0], [1, 164, 594, 30, 0], [1, 116, 450, 237, 0], [0, 0, 0, 0, 801]]",strict_split_trained,0.9295261510087013,0.27700363364065894
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_convnext,94,1079570,0.6199447375031399,0.6911210138365586,0.6200809285249205,0.6145256884848851,"{'Camera': 0.8577555396711937, 'Light_T1': 0.3835820895522388, 'Light_XM': 0.49584158415841584, 'Sensor': 0.3360730593607306, 'Socket': 0.9993761696818465}","[[600, 8, 145, 43, 1], [1, 257, 490, 42, 0], [0, 141, 626, 22, 0], [1, 144, 475, 184, 0], [0, 0, 0, 0, 801]]",strict_split_trained,0.9201687169517787,0.3056430284668936
