filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,n_sources,target_env,grid_kind,split_mode
raw_all,g0_R3_R7_to_R2,fixed_split,"['R3', 'R7']",['R2'],3830,1816,all_features,rf,94,0.7153083700440529,0.7192732837173446,0.7152883158939177,0.7148402909259551,"{'Camera': 0.9309838472834068, 'Light_T1': 0.39461883408071746, 'Light_XM': 0.7538071065989848, 'Sensor': 0.4947916666666667, 'Socket': 1.0}","[[317, 0, 19, 26, 0], [0, 132, 104, 127, 0], [1, 5, 297, 62, 0], [1, 169, 3, 190, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R7_to_R2,fixed_split,"['R3', 'R7']",['R2'],3830,1816,all_features,xgboost,94,0.6398678414096917,0.6195280796685293,0.6397824206438312,0.6275911824003098,"{'Camera': 0.9704641350210971, 'Light_T1': 0.11411411411411411, 'Light_XM': 0.780905752753978, 'Sensor': 0.27247191011235955, 'Socket': 1.0}","[[345, 0, 3, 14, 0], [1, 38, 129, 195, 0], [2, 1, 319, 43, 0], [1, 264, 1, 97, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R7_to_R2,fixed_split,"['R3', 'R7']",['R2'],3830,1816,all_features,lightgbm,94,0.6183920704845814,0.5947000815174956,0.6183205662509104,0.6049142912555372,"{'Camera': 0.9683631361760661, 'Light_T1': 0.1049645390070922, 'Light_XM': 0.7810945273631841, 'Sensor': 0.1701492537313433, 'Socket': 1.0}","[[352, 0, 3, 7, 0], [9, 37, 122, 195, 0], [3, 0, 314, 48, 0], [1, 305, 0, 57, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R7_to_R2,fixed_split,"['R3', 'R7']",['R2'],3830,1816,all_features,stacking,94,0.698237885462555,0.7341340844614535,0.6985384875359625,0.6804114235741042,"{'Camera': 0.5996131528046421, 'Light_T1': 0.6595517609391676, 'Light_XM': 0.34811165845648606, 'Sensor': 0.7947805456702254, 'Socket': 1.0}","[[155, 22, 120, 65, 0], [0, 309, 1, 53, 0], [0, 232, 106, 27, 0], [0, 11, 17, 335, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R4_R5_to_R2,fixed_split,"['R4', 'R5']",['R2'],3669,1816,all_features,rf,94,0.8303964757709251,0.8321783355157697,0.8305595186642091,0.8283084671178376,"{'Camera': 0.9818688981868898, 'Light_T1': 0.6439628482972136, 'Light_XM': 0.7208387942332897, 'Sensor': 0.7948717948717948, 'Socket': 1.0}","[[352, 0, 0, 10, 0], [0, 208, 78, 77, 0], [3, 67, 275, 20, 0], [0, 8, 45, 310, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R4_R5_to_R2,fixed_split,"['R4', 'R5']",['R2'],3669,1816,all_features,xgboost,94,0.8061674008810573,0.8112115832075288,0.8067247320288746,0.7993515108113058,"{'Camera': 0.9916897506925207, 'Light_T1': 0.6440281030444965, 'Light_XM': 0.4897260273972603, 'Sensor': 0.871313672922252, 'Socket': 1.0}","[[358, 0, 0, 4, 0], [0, 275, 41, 47, 0], [2, 213, 143, 7, 0], [0, 3, 35, 325, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R4_R5_to_R2,fixed_split,"['R4', 'R5']",['R2'],3669,1816,all_features,lightgbm,94,0.8012114537444934,0.8065788143707302,0.8017992381240697,0.7927690072706021,"{'Camera': 0.9888888888888889, 'Light_T1': 0.6421173762945915, 'Light_XM': 0.45884413309982486, 'Sensor': 0.8739946380697051, 'Socket': 1.0}","[[356, 0, 0, 6, 0], [0, 279, 41, 43, 0], [2, 224, 131, 8, 0], [0, 3, 34, 326, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R4_R5_to_R2,fixed_split,"['R4', 'R5']",['R2'],3669,1816,all_features,stacking,94,0.7599118942731278,0.7711268303677563,0.7599486773085776,0.7178728583474508,"{'Camera': 0.9823609226594301, 'Light_T1': 0.20187793427230047, 'Light_XM': 0.6905027932960894, 'Sensor': 0.714622641509434, 'Socket': 1.0}","[[362, 0, 0, 0, 0], [4, 43, 176, 140, 0], [6, 8, 309, 42, 0], [3, 12, 45, 303, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R4_R6_to_R2,fixed_split,"['R4', 'R6']",['R2'],3841,1816,all_features,rf,94,0.8270925110132159,0.8582301145563485,0.8276838008481086,0.8166687709491626,"{'Camera': 0.96875, 'Light_T1': 0.7282051282051282, 'Light_XM': 0.4783427495291902, 'Sensor': 0.9080459770114943, 'Socket': 1.0}","[[341, 16, 0, 5, 0], [0, 355, 0, 8, 0], [1, 233, 127, 4, 0], [0, 8, 39, 316, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R4_R6_to_R2,fixed_split,"['R4', 'R6']",['R2'],3841,1816,all_features,xgboost,94,0.8248898678414097,0.8504962300476706,0.8255525497782779,0.8102594274305346,"{'Camera': 0.9860335195530726, 'Light_T1': 0.725050916496945, 'Light_XM': 0.42003853564547206, 'Sensor': 0.9201741654571843, 'Socket': 1.0}","[[353, 6, 0, 3, 0], [1, 356, 3, 3, 0], [0, 253, 109, 3, 0], [0, 4, 42, 317, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
