task,n_sources,n_classes,cluster_size,cluster,severity_src_oof_rf_H,target_H_best_base,target_H_stacking,gap_H,n_consensus_correct_H,n_override_H,override_rate_H,n_consensus_correct_E,n_override_E,override_rate_E
g0_R3_R5_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.36526,0.163558,0.267935,0.104377,394,393,0.997462,394,0,0.0
g0_R3_R5_to_R7,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.36526,0.205553,0.266533,0.06098,396,395,0.997475,406,0,0.0
g0_R3_R6_R7_to_R2,3,5,3,Light_T1|Light_XM|Sensor,0.682924,0.614963,0.46975,-0.145214,345,0,0.0,697,90,0.129125
g0_R3_R6_R7_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.682924,0.66782,0.534741,-0.13308,283,2,0.007067,745,0,0.0
g0_R3_R6_R7_to_R5,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.714948,0.567409,0.390673,-0.176735,755,82,0.108609,363,0,0.0
g0_R3_R6_to_R2,2,5,3,Light_T1|Light_XM|Sensor,0.408572,0.526572,0.69091,0.164338,326,15,0.046012,681,124,0.182085
g0_R3_R6_to_R4,2,5,3,Light_T1|Light_XM|Sensor,0.408572,0.424557,0.671893,0.247336,301,157,0.521595,727,11,0.015131
g0_R3_R6_to_R5,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.43432,0.560871,0.426496,-0.134375,723,144,0.19917,363,0,0.0
g0_R3_R6_to_R7,2,5,3,Light_T1|Light_XM|Sensor,0.408572,0.761297,0.51115,-0.250147,796,264,0.331658,776,13,0.016753
g0_R3_R7_to_R2,2,5,3,Light_T1|Light_XM|Sensor,0.370731,0.547739,0.600815,0.053075,367,194,0.52861,671,153,0.228018
g0_R3_R7_to_R4,2,5,3,Light_T1|Light_XM|Sensor,0.370731,0.563626,0.706116,0.142491,300,159,0.53,740,4,0.005405
