task,model,temperature,w_inv_temperature,nll_uncalibrated,nll_calibrated,n_oof,optimizer_converged,bound_hit
g0_R3_R4_R7_to_R6,xgboost,2.5519172879998133,0.39186223029344247,1.2799568959676324,0.8328817096656522,5683,True,False
g0_R3_R4_R7_to_R6,lightgbm,5.135187607665714,0.19473485223932582,2.5051828965688663,0.8784658990528337,5683,True,False
g0_R3_R4_to_R2,rf,1.7809750760670857,0.5614901709957069,1.24685395615931,1.1254330591333586,3690,True,False
g0_R3_R4_to_R2,xgboost,4.37967679628881,0.2283273507413529,2.759009033134865,1.3117294453222041,3690,True,False
g0_R3_R4_to_R2,lightgbm,8.357486730045983,0.11965319626591835,5.059622966763019,1.3287601966064722,3690,True,False
g0_R3_R4_to_R5,rf,1.7809750760670857,0.5614901709957069,1.24685395615931,1.1254330591333586,3690,True,False
g0_R3_R4_to_R5,xgboost,4.37967679628881,0.2283273507413529,2.759009033134865,1.3117294453222041,3690,True,False
g0_R3_R4_to_R5,lightgbm,8.357486730045983,0.11965319626591835,5.059622966763019,1.3287601966064722,3690,True,False
g0_R3_R4_to_R6,rf,1.7809750760670857,0.5614901709957069,1.24685395615931,1.1254330591333586,3690,True,False
g0_R3_R4_to_R6,xgboost,4.37967679628881,0.2283273507413529,2.759009033134865,1.3117294453222041,3690,True,False
g0_R3_R4_to_R6,lightgbm,8.357486730045983,0.11965319626591835,5.059622966763019,1.3287601966064722,3690,True,False
g0_R3_R4_to_R7,rf,1.7809750760670857,0.5614901709957069,1.24685395615931,1.1254330591333586,3690,True,False
g0_R3_R4_to_R7,xgboost,4.37967679628881,0.2283273507413529,2.759009033134865,1.3117294453222041,3690,True,False
g0_R3_R4_to_R7,lightgbm,8.357486730045983,0.11965319626591835,5.059622966763019,1.3287601966064722,3690,True,False
g0_R3_R5_R6_to_R2,rf,1.2744329400776535,0.7846627064889489,0.9662424255020539,0.9481977645260805,5641,True,False
g0_R3_R5_R6_to_R2,xgboost,2.7677887771079024,0.3612992466299804,1.5365418891216804,0.9412036534723677,5641,True,False
g0_R3_R5_R6_to_R2,lightgbm,5.895433075425746,0.1696228228199815,3.208865840184464,0.9867404172629289,5641,True,False
g0_R3_R5_R6_to_R4,rf,1.2744329400776535,0.7846627064889489,0.9662424255020539,0.9481977645260805,5641,True,False
g0_R3_R5_R6_to_R4,xgboost,2.7677887771079024,0.3612992466299804,1.5365418891216804,0.9412036534723677,5641,True,False
g0_R3_R5_R6_to_R4,lightgbm,5.89543392818228,0.16962279828455762,3.208865840183678,0.986740325780322,5641,True,False
g0_R3_R5_R6_to_R7,rf,1.2744329400776535,0.7846627064889489,0.9662424255020539,0.9481977645260805,5641,True,False
g0_R3_R5_R6_to_R7,xgboost,2.7677887771079024,0.3612992466299804,1.5365418891216804,0.9412036534723677,5641,True,False
g0_R3_R5_R6_to_R7,lightgbm,5.8954330750684525,0.16962282283026153,3.2088658401844645,0.9867404172629289,5641,True,False
g0_R3_R5_R7_to_R2,rf,1.294160582682459,0.7727016363975941,0.948792336561252,0.9278068209121682,5646,True,False
g0_R3_R5_R7_to_R2,xgboost,2.7638977846797275,0.36180788071939396,1.5243985144036634,0.9386455753797933,5646,True,False
g0_R3_R5_R7_to_R2,lightgbm,5.6807172608998355,0.17603410873534625,3.0086637402955034,0.9814272202141012,5646,True,False
g0_R3_R5_R7_to_R4,rf,1.294160582682459,0.7727016363975941,0.948792336561252,0.9278068209121682,5646,True,False
g0_R3_R5_R7_to_R4,xgboost,2.7638977846797275,0.36180788071939396,1.5243985144036634,0.9386455753797933,5646,True,False
g0_R3_R5_R7_to_R4,lightgbm,5.680717260829025,0.17603410873754055,3.0086637402955034,0.9814272202141011,5646,True,False
