task,task_type,grid_kind,split_mode,n_sources,target_env,train_rounds,test_rounds,n_train,n_test,n_oof,method,method_kind,selected_base_model,macro_f1_5class,macro_f1_4class,worst_class_f1,worst_class_f1_4class,accuracy,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,gain_vs_best_base
g0_R3_R6_R7_to_R5,fixed_split,ood,fixed,3,R5,"['R3', 'R6', 'R7']",['R5'],5818,1816,5818,rf,base_model,,0.5887185593812042,0.48589819922650523,0.06683804627249357,0.06683804627249357,0.6470264317180616,0.574757281553398,0.06683804627249357,0.6742034943473793,0.6277939747327502,1.0,-0.06520842247277225
g0_R3_R6_R7_to_R5,fixed_split,ood,fixed,3,R5,"['R3', 'R6', 'R7']",['R5'],5818,1816,5818,xgboost,base_model,,0.6539269818539765,0.5674087273174706,0.010899182561307902,0.010899182561307902,0.7180616740088106,0.867175572519084,0.010899182561307902,0.660377358490566,0.7311827956989247,1.0,0.0
g0_R3_R6_R7_to_R5,fixed_split,ood,fixed,3,R5,"['R3', 'R6', 'R7']",['R5'],5818,1816,5818,lightgbm,base_model,,0.622790683500906,0.5284883543761325,0.0,0.0,0.6872246696035242,0.7583892617449665,0.0,0.6557711950970377,0.6997929606625258,1.0,-0.031136298353070413
g0_R3_R6_R7_to_R5,fixed_split,ood,fixed,3,R5,"['R3', 'R6', 'R7']",['R5'],5818,1816,5818,stacking,stacking,,0.5125387678572796,0.39067345982159946,0.00546448087431694,0.00546448087431694,0.6007709251101322,0.2937062937062937,0.00546448087431694,0.5834829443447038,0.6800401203610833,1.0,-0.14138821399669688
g0_R3_R6_R7_to_R5,fixed_split,ood,fixed,3,R5,"['R3', 'R6', 'R7']",['R5'],5818,1816,5818,best_base_posthoc,reference,xgboost,0.6539269818539765,0.5674087273174706,0.010899182561307902,0.010899182561307902,0.7180616740088106,0.867175572519084,0.010899182561307902,0.660377358490566,0.7311827956989247,1.0,0.0
g0_R3_R6_R7_to_R5,fixed_split,ood,fixed,3,R5,"['R3', 'R6', 'R7']",['R5'],5818,1816,5818,hard_voting,voting,,0.6277510067552169,0.5346887584440211,0.0,0.0,0.6921806167400881,0.7775947281713345,0.0,0.6563786008230452,0.7047817047817048,1.0,-0.026175975098759574
g0_R3_R6_R7_to_R5,fixed_split,ood,fixed,3,R5,"['R3', 'R6', 'R7']",['R5'],5818,1816,5818,soft_voting_equal,voting,,0.6332822003362003,0.5416027504202504,0.0,0.0,0.6976872246696035,0.7987012987012987,0.0,0.659114315139032,0.7085953878406709,1.0,-0.020644781517776156
g0_R3_R6_R7_to_R5,fixed_split,ood,fixed,3,R5,"['R3', 'R6', 'R7']",['R5'],5818,1816,5818,soft_voting_calibrated,voting,,0.6336786632141138,0.5420983290176422,0.00546448087431694,0.00546448087431694,0.698237885462555,0.7861842105263158,0.00546448087431694,0.6721991701244814,0.7045454545454546,1.0,-0.02024831863986265
g0_R3_R6_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R6']",['R2'],3825,1816,3825,rf,base_model,,0.7073225692084958,0.6341532115106198,0.3668639053254438,0.3668639053254438,0.7087004405286343,0.9568965517241379,0.3668639053254438,0.7400768245838668,0.47277556440903057,1.0,0.0
g0_R3_R6_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R6']",['R2'],3825,1816,3825,xgboost,base_model,,0.613949241424362,0.5174365517804526,0.1636615811373093,0.1636615811373093,0.6172907488986784,0.9818181818181818,0.1636615811373093,0.7398692810457517,0.18439716312056736,1.0,-0.09337332778413376
g0_R3_R6_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R6']",['R2'],3825,1816,3825,lightgbm,base_model,,0.5921099635811062,0.49013745447638285,0.1037463976945245,0.1037463976945245,0.5941629955947136,0.9675599435825106,0.14285714285714285,0.7463863337713534,0.1037463976945245,1.0,-0.11521260562738955
g0_R3_R6_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R6']",['R2'],3825,1816,3825,stacking,stacking,,0.7547231674087641,0.6934039592609551,0.5938864628820961,0.5938864628820961,0.751101321585903,0.7008849557522124,0.6536144578313253,0.5938864628820961,0.8252299605781866,1.0,0.04740059820026832
g0_R3_R6_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R6']",['R2'],3825,1816,3825,best_base_posthoc,reference,rf,0.7073225692084958,0.6341532115106198,0.3668639053254438,0.3668639053254438,0.7087004405286343,0.9568965517241379,0.3668639053254438,0.7400768245838668,0.47277556440903057,1.0,0.0
g0_R3_R6_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R6']",['R2'],3825,1816,3825,hard_voting,voting,,0.6128904719005158,0.5161130898756447,0.16298342541436464,0.16298342541436464,0.6167400881057269,0.9804469273743017,0.16298342541436464,0.7467362924281984,0.1742857142857143,1.0,-0.09443209730797997
g0_R3_R6_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R6']",['R2'],3825,1816,3825,soft_voting_equal,voting,,0.608407137469926,0.5105089218374075,0.1447178002894356,0.1447178002894356,0.611784140969163,0.9776536312849162,0.16802168021680217,0.7516425755584757,0.1447178002894356,1.0,-0.09891543173856976
g0_R3_R6_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R6']",['R2'],3825,1816,3825,soft_voting_calibrated,voting,,0.6183411321021961,0.5229264151277452,0.17316017316017315,0.17316017316017315,0.6216960352422908,0.9818688981868898,0.18503401360544217,0.7516425755584757,0.17316017316017315,1.0,-0.08898143710629969
g0_R3_R6_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R6']",['R4'],3825,1853,3825,rf,base_model,,0.647365955580911,0.5592074444761388,0.1271393643031785,0.1271393643031785,0.6805180787911494,0.9631578947368421,0.5217391304347826,0.1271393643031785,0.6247933884297521,1.0,0.0
g0_R3_R6_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R6']",['R4'],3825,1853,3825,xgboost,base_model,,0.577072346292322,0.4713404328654025,0.0936768149882904,0.0936768149882904,0.6065839179708581,0.9764397905759162,0.40894039735099336,0.0936768149882904,0.4063047285464098,1.0,-0.07029360928858908
g0_R3_R6_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R6']",['R4'],3825,1853,3825,lightgbm,base_model,,0.554887579368074,0.4436094742100924,0.06265060240963856,0.06265060240963856,0.5898542903399892,0.9778933680104032,0.3915515840779854,0.06265060240963856,0.34234234234234234,1.0,-0.09247837621283705
g0_R3_R6_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R6']",['R4'],3825,1853,3825,stacking,stacking,,0.7881162196996321,0.73514527462454,0.519298245614035,0.519298245614035,0.7981651376146789,0.924901185770751,0.519298245614035,0.7015098722415796,0.7948717948717948,1.0,0.14075026411872105
g0_R3_R6_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R6']",['R4'],3825,1853,3825,best_base_posthoc,reference,rf,0.647365955580911,0.5592074444761388,0.1271393643031785,0.1271393643031785,0.6805180787911494,0.9631578947368421,0.5217391304347826,0.1271393643031785,0.6247933884297521,1.0,0.0
g0_R3_R6_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R6']",['R4'],3825,1853,3825,hard_voting,voting,,0.5738262360920652,0.4672827951150814,0.08095238095238096,0.08095238095238096,0.6065839179708581,0.9738903394255874,0.4157119476268412,0.08095238095238096,0.398576512455516,1.0,-0.07353971948884586
g0_R3_R6_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R6']",['R4'],3825,1853,3825,soft_voting_equal,voting,,0.567185277336206,0.45898159667025745,0.07159904534606205,0.07159904534606205,0.6017269293038316,0.9778357235984355,0.41171684296175753,0.07159904534606205,0.3747747747747748,1.0,-0.08018067824470498
g0_R3_R6_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R6']",['R4'],3825,1853,3825,soft_voting_calibrated,voting,,0.5811576234348241,0.4764470292935301,0.08232445520581114,0.08232445520581114,0.616297895304911,0.9778357235984355,0.43344155844155846,0.08232445520581114,0.4121863799283154,1.0,-0.0662083321460869
g0_R3_R6_to_R5,fixed_split,ood,fixed,2,R5,"['R3', 'R6']",['R5'],3825,1816,3825,rf,base_model,,0.5538274170227856,0.442284271278482,0.005333333333333333,0.005333333333333333,0.6216960352422908,0.5030674846625767,0.005333333333333333,0.6618556701030928,0.5988805970149254,1.0,-0.09486922389480978
g0_R3_R6_to_R5,fixed_split,ood,fixed,2,R5,"['R3', 'R6']",['R5'],3825,1816,3825,xgboost,base_model,,0.6486966409175954,0.5608708011469942,0.0,0.0,0.7147577092511013,0.8562783661119516,0.0,0.6901709401709402,0.6970338983050848,1.0,0.0
g0_R3_R6_to_R5,fixed_split,ood,fixed,2,R5,"['R3', 'R6']",['R5'],3825,1816,3825,lightgbm,base_model,,0.6154346997659099,0.5192933747073875,0.0,0.0,0.6784140969162996,0.7418803418803419,0.0,0.6410256410256411,0.6942675159235668,1.0,-0.03326194115168546
g0_R3_R6_to_R5,fixed_split,ood,fixed,2,R5,"['R3', 'R6']",['R5'],3825,1816,3825,stacking,stacking,,0.541196605547914,0.4264957569348926,0.13333333333333333,0.13333333333333333,0.5881057268722467,0.13333333333333333,0.328928046989721,0.5920925747348119,0.6516290726817042,1.0,-0.10750003536968133
g0_R3_R6_to_R5,fixed_split,ood,fixed,2,R5,"['R3', 'R6']",['R5'],3825,1816,3825,best_base_posthoc,reference,xgboost,0.6486966409175954,0.5608708011469942,0.0,0.0,0.7147577092511013,0.8562783661119516,0.0,0.6901709401709402,0.6970338983050848,1.0,0.0
g0_R3_R6_to_R5,fixed_split,ood,fixed,2,R5,"['R3', 'R6']",['R5'],3825,1816,3825,hard_voting,voting,,0.6211082754774258,0.5263853443467822,0.0,0.0,0.6844713656387665,0.7638190954773869,0.0,0.6598569969356486,0.6818652849740933,1.0,-0.027588365440169627
g0_R3_R6_to_R5,fixed_split,ood,fixed,2,R5,"['R3', 'R6']",['R5'],3825,1816,3825,soft_voting_equal,voting,,0.6254257070109509,0.5317821337636887,0.0,0.0,0.6888766519823789,0.7761194029850746,0.0,0.6546184738955824,0.6963906581740976,1.0,-0.023270933906644475
g0_R3_R6_to_R5,fixed_split,ood,fixed,2,R5,"['R3', 'R6']",['R5'],3825,1816,3825,soft_voting_calibrated,voting,,0.6256102810801801,0.5320128513502251,0.0,0.0,0.6894273127753304,0.7753743760399334,0.0,0.6666666666666666,0.6860103626943005,1.0,-0.02308635983741525
g0_R3_R6_to_R7,fixed_split,ood,fixed,2,R7,"['R3', 'R6']",['R7'],3825,1993,3825,rf,base_model,,0.829844878776893,0.7873060984711162,0.6884272997032641,0.6884272997032641,0.8304064224786754,0.9756722151088348,0.7104413347685683,0.6884272997032641,0.7746835443037975,1.0,-0.02133518731792028
g0_R3_R6_to_R7,fixed_split,ood,fixed,2,R7,"['R3', 'R6']",['R7'],3825,1993,3825,xgboost,base_model,,0.841591989444165,0.8019899868052064,0.6790830945558739,0.6790830945558739,0.843452082288008,0.9690721649484536,0.7471526195899773,0.6790830945558739,0.8126520681265207,1.0,-0.009588076650648203
g0_R3_R6_to_R7,fixed_split,ood,fixed,2,R7,"['R3', 'R6']",['R7'],3825,1993,3825,lightgbm,base_model,,0.8511800660948132,0.8139750826185165,0.7042640990371389,0.7042640990371389,0.8529854490717511,0.9720101781170484,0.7657004830917874,0.7042640990371389,0.8139255702280912,1.0,0.0
g0_R3_R6_to_R7,fixed_split,ood,fixed,2,R7,"['R3', 'R6']",['R7'],3825,1993,3825,stacking,stacking,,0.6967682100007302,0.6209602625009127,0.21674876847290642,0.21674876847290642,0.711490215755143,0.9503916449086162,0.21674876847290642,0.5731108930323847,0.7435897435897436,1.0,-0.15441185609408303
g0_R3_R6_to_R7,fixed_split,ood,fixed,2,R7,"['R3', 'R6']",['R7'],3825,1993,3825,best_base_posthoc,reference,lightgbm,0.8511800660948132,0.8139750826185165,0.7042640990371389,0.7042640990371389,0.8529854490717511,0.9720101781170484,0.7657004830917874,0.7042640990371389,0.8139255702280912,1.0,0.0
g0_R3_R6_to_R7,fixed_split,ood,fixed,2,R7,"['R3', 'R6']",['R7'],3825,1993,3825,hard_voting,voting,,0.8454580035421102,0.8068225044276377,0.6828571428571428,0.6828571428571428,0.8474661314601104,0.9769230769230769,0.7514318442153494,0.6828571428571428,0.8160779537149817,1.0,-0.005722062552703022
g0_R3_R6_to_R7,fixed_split,ood,fixed,2,R7,"['R3', 'R6']",['R7'],3825,1993,3825,soft_voting_equal,voting,,0.8493796043558692,0.8117245054448365,0.6940509915014165,0.6940509915014165,0.8514801806322128,0.9718670076726342,0.7631271878646441,0.6940509915014165,0.8178528347406514,1.0,-0.0018004617389439925
g0_R3_R6_to_R7,fixed_split,ood,fixed,2,R7,"['R3', 'R6']",['R7'],3825,1993,3825,soft_voting_calibrated,voting,,0.8475016051670275,0.8093770064587844,0.6906474820143885,0.6906474820143885,0.8494731560461616,0.9730423620025674,0.752,0.6906474820143885,0.8218181818181818,1.0,-0.003678460927785676
g0_R3_R7_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R7']",['R2'],3830,1816,3830,rf,base_model,,0.7148402909259551,0.6435503636574439,0.39461883408071746,0.39461883408071746,0.7153083700440529,0.9309838472834068,0.39461883408071746,0.7538071065989848,0.4947916666666667,1.0,0.0
g0_R3_R7_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R7']",['R2'],3830,1816,3830,xgboost,base_model,,0.6275911824003098,0.5344889780003872,0.11411411411411411,0.11411411411411411,0.6398678414096917,0.9704641350210971,0.11411411411411411,0.780905752753978,0.27247191011235955,1.0,-0.08724910852564538
g0_R3_R7_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R7']",['R2'],3830,1816,3830,lightgbm,base_model,,0.6049142912555372,0.5061428640694214,0.1049645390070922,0.1049645390070922,0.6183920704845814,0.9683631361760661,0.1049645390070922,0.7810945273631841,0.1701492537313433,1.0,-0.10992599967041794
g0_R3_R7_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R7']",['R2'],3830,1816,3830,stacking,stacking,,0.6804114235741042,0.6005142794676303,0.34811165845648606,0.34811165845648606,0.698237885462555,0.5996131528046421,0.6595517609391676,0.34811165845648606,0.7947805456702254,1.0,-0.03442886735185091
g0_R3_R7_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R7']",['R2'],3830,1816,3830,best_base_posthoc,reference,rf,0.7148402909259551,0.6435503636574439,0.39461883408071746,0.39461883408071746,0.7153083700440529,0.9309838472834068,0.39461883408071746,0.7538071065989848,0.4947916666666667,1.0,0.0
g0_R3_R7_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R7']",['R2'],3830,1816,3830,hard_voting,voting,,0.6288854346371566,0.5361067932964458,0.14223512336719885,0.14223512336719885,0.6398678414096917,0.9763560500695411,0.14223512336719885,0.7776397515527951,0.2481962481962482,1.0,-0.08595485628879851
g0_R3_R7_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R7']",['R2'],3830,1816,3830,soft_voting_equal,voting,,0.6207386109317836,0.5259232636647295,0.13218390804597702,0.13218390804597702,0.6321585903083701,0.9735744089012517,0.13218390804597702,0.7757125154894672,0.2222222222222222,1.0,-0.09410167999417152
g0_R3_R7_to_R2,fixed_split,ood,fixed,2,R2,"['R3', 'R7']",['R2'],3830,1816,3830,soft_voting_calibrated,voting,,0.646693704936131,0.5583671311701637,0.2062146892655367,0.2062146892655367,0.6541850220264317,0.9748603351955307,0.2062146892655367,0.7828282828282829,0.26956521739130435,1.0,-0.06814658598982415
g0_R3_R7_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R7']",['R4'],3830,1853,3830,rf,base_model,,0.734811998483444,0.668514998104305,0.4376278118609407,0.4376278118609407,0.7431192660550459,0.9831824062095731,0.5666356011183598,0.4376278118609407,0.6866141732283465,1.0,0.0
g0_R3_R7_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R7']",['R4'],3830,1853,3830,xgboost,base_model,,0.616499485540748,0.520624356925935,0.26337448559670784,0.26337448559670784,0.6314085267134377,0.9728331177231565,0.4231433506044905,0.26337448559670784,0.4231464737793852,1.0,-0.11831251294269607
g0_R3_R7_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R7']",['R4'],3830,1853,3830,lightgbm,base_model,,0.564272399635009,0.4553404995437612,0.13537117903930132,0.13537117903930132,0.5914732865623313,0.9693877551020408,0.3800829875518672,0.13537117903930132,0.3365200764818356,1.0,-0.17053959884843506
g0_R3_R7_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R7']",['R4'],3830,1853,3830,stacking,stacking,,0.818957798439832,0.7736972480497899,0.6153846153846154,0.6153846153846154,0.825148407987048,0.9764397905759162,0.6153846153846154,0.7398373983739838,0.7631271878646441,1.0,0.08414579995638793
g0_R3_R7_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R7']",['R4'],3830,1853,3830,best_base_posthoc,reference,rf,0.734811998483444,0.668514998104305,0.4376278118609407,0.4376278118609407,0.7431192660550459,0.9831824062095731,0.5666356011183598,0.4376278118609407,0.6866141732283465,1.0,0.0
g0_R3_R7_to_R4,fixed_split,ood,fixed,2,R4,"['R3', 'R7']",['R4'],3830,1853,3830,hard_voting,voting,,0.6164855385098754,0.5206069231373442,0.25316455696202533,0.25316455696202533,0.6335671883432272,0.979381443298969,0.4267352185089974,0.25316455696202533,0.4231464737793852,1.0,-0.11832645997356861
