config,unit,model,macro_f1,n_cols,n_train,n_test
up,JOINT,lightgbm,0.8964074362888335,87,4404,1102
up,JOINT,stacking,0.8753972431487613,87,4404,1102
up,g0_R2_R3_to_R4,rf,0.6543914647985012,87,-1,-1
up,g0_R2_R3_to_R4,xgboost,0.6487247522883509,87,-1,-1
up,g0_R2_R3_to_R4,lightgbm,0.6581137445051727,87,-1,-1
up,g0_R2_R3_to_R4,stacking,0.4378281447225866,87,-1,-1
up,g0_R2_R4_to_R3,rf,0.5895701428596543,87,-1,-1
up,g0_R2_R4_to_R3,xgboost,0.5151236593235007,87,-1,-1
up,g0_R2_R4_to_R3,lightgbm,0.557059584527215,87,-1,-1
up,g0_R2_R4_to_R3,stacking,0.4635183091803219,87,-1,-1
up,g0_R3_R4_to_R2,rf,0.8054210551443232,87,-1,-1
up,g0_R3_R4_to_R2,xgboost,0.7677440451904308,87,-1,-1
up,g0_R3_R4_to_R2,lightgbm,0.7827499468530886,87,-1,-1
up,g0_R3_R4_to_R2,stacking,0.6293907509990135,87,-1,-1
