task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm
jitter_R2_R3_R4_to_R6,42,A_prime,random,3,3,3,True,3,round_group,0.7751136936374916,xgboost,0.7783647964241942,-0.0032511027867025977,0.7488747806643499,0.7783647964241942,0.7640759809256255
jitter_R2_R3_R4_to_R6,42,B,grouped,5,3,3,,3,round_group,0.6955971167332627,xgboost,0.7783647964241942,-0.08276767969093146,0.7488747806643499,0.7783647964241942,0.7640759809256255
jitter_R2_R3_R4_to_R6,43,A,random,5,5,3,,3,round_group,0.7732897806090334,xgboost,0.7769578127010457,-0.0036680320920122744,0.7536787218386124,0.7769578127010457,0.7640759809256255
jitter_R2_R3_R4_to_R6,43,A_prime,random,3,3,3,True,3,round_group,0.773199281923274,xgboost,0.7769578127010457,-0.0037585307777716626,0.7536787218386124,0.7769578127010457,0.7640759809256255
jitter_R2_R3_R4_to_R6,43,B,grouped,5,3,3,,3,round_group,0.7025556635612216,xgboost,0.7769578127010457,-0.07440214913982413,0.7536787218386124,0.7769578127010457,0.7640759809256255
jitter_R2_R3_R4_to_R6,44,A,random,5,5,3,,3,round_group,0.7754657832426723,xgboost,0.7774190074750142,-0.001953224232341899,0.7388432947600209,0.7774190074750142,0.7640759809256255
jitter_R2_R3_R4_to_R6,44,A_prime,random,3,3,3,True,3,round_group,0.7717954401958954,xgboost,0.7774190074750142,-0.005623567279118835,0.7388432947600209,0.7774190074750142,0.7640759809256255
jitter_R2_R3_R4_to_R6,44,B,grouped,5,3,3,,3,round_group,0.6961727986067708,xgboost,0.7774190074750142,-0.08124620886824341,0.7388432947600209,0.7774190074750142,0.7640759809256255
jitter_R2_R3_R4_to_R6,45,A,random,5,5,3,,3,round_group,0.7712895168054233,xgboost,0.7812458699608165,-0.009956353155393116,0.7442315034210465,0.7812458699608165,0.7640759809256255
jitter_R2_R3_R4_to_R6,45,A_prime,random,3,3,3,True,3,round_group,0.7755110742876081,xgboost,0.7812458699608165,-0.005734795673208337,0.7442315034210465,0.7812458699608165,0.7640759809256255
jitter_R2_R3_R4_to_R6,45,B,grouped,5,3,3,,3,round_group,0.698584351792109,xgboost,0.7812458699608165,-0.08266151816870748,0.7442315034210465,0.7812458699608165,0.7640759809256255
jitter_R2_R3_R4_to_R6,46,A,random,5,5,3,,3,round_group,0.7780618534336655,xgboost,0.7793861555088145,-0.0013243020751489976,0.7482805249725685,0.7793861555088145,0.7640759809256255
jitter_R2_R3_R4_to_R6,46,A_prime,random,3,3,3,True,3,round_group,0.7749415618040876,xgboost,0.7793861555088145,-0.00444459370472694,0.7482805249725685,0.7793861555088145,0.7640759809256255
jitter_R2_R3_R4_to_R6,46,B,grouped,5,3,3,,3,round_group,0.6975870362457721,xgboost,0.7793861555088145,-0.0817991192630424,0.7482805249725685,0.7793861555088145,0.7640759809256255
jitter_R2_R3_R4_to_R7,42,A,random,5,5,3,,3,round_group,0.8204439830298785,rf,0.8219721259799911,-0.0015281429501126098,0.8219721259799911,0.8154367714214587,0.8088477748505276
jitter_R2_R3_R4_to_R7,42,A_prime,random,3,3,3,True,3,round_group,0.817413780124258,rf,0.8219721259799911,-0.004558345855733115,0.8219721259799911,0.8154367714214587,0.8088477748505276
jitter_R2_R3_R4_to_R7,42,B,grouped,5,3,3,,3,round_group,0.7291714113522227,rf,0.8219721259799911,-0.0928007146277684,0.8219721259799911,0.8154367714214587,0.8088477748505276
jitter_R2_R3_R4_to_R7,43,A,random,5,5,3,,3,round_group,0.8138344776232567,rf,0.8236975201013944,-0.00986304247813774,0.8236975201013944,0.8133923108988175,0.8088477748505276
jitter_R2_R3_R4_to_R7,43,A_prime,random,3,3,3,True,3,round_group,0.8177240696780619,rf,0.8236975201013944,-0.005973450423332527,0.8236975201013944,0.8133923108988175,0.8088477748505276
jitter_R2_R3_R4_to_R7,43,B,grouped,5,3,3,,3,round_group,0.7420886846441473,rf,0.8236975201013944,-0.08160883545724706,0.8236975201013944,0.8133923108988175,0.8088477748505276
jitter_R2_R3_R4_to_R7,44,A,random,5,5,3,,3,round_group,0.8217099215400049,rf,0.8232986071974431,-0.0015886856574381936,0.8232986071974431,0.8169168155399948,0.8088477748505276
jitter_R2_R3_R4_to_R7,44,A_prime,random,3,3,3,True,3,round_group,0.8161543703377067,rf,0.8232986071974431,-0.007144236859736419,0.8232986071974431,0.8169168155399948,0.8088477748505276
jitter_R2_R3_R4_to_R7,44,B,grouped,5,3,3,,3,round_group,0.739204896970596,rf,0.8232986071974431,-0.08409371022684708,0.8232986071974431,0.8169168155399948,0.8088477748505276
jitter_R2_R3_R4_to_R7,45,A,random,5,5,3,,3,round_group,0.8158426106842025,rf,0.8258894059214619,-0.010046795237259376,0.8258894059214619,0.8216756028209227,0.8088477748505276
jitter_R2_R3_R4_to_R7,45,A_prime,random,3,3,3,True,3,round_group,0.8187180523879294,rf,0.8258894059214619,-0.007171353533532487,0.8258894059214619,0.8216756028209227,0.8088477748505276
jitter_R2_R3_R4_to_R7,45,B,grouped,5,3,3,,3,round_group,0.7364842309390303,rf,0.8258894059214619,-0.08940517498243161,0.8258894059214619,0.8216756028209227,0.8088477748505276
jitter_R2_R3_R4_to_R7,46,A,random,5,5,3,,3,round_group,0.8212254523228941,rf,0.8224775367311377,-0.0012520844082435367,0.8224775367311377,0.8174573878405453,0.8088477748505276
jitter_R2_R3_R4_to_R7,46,A_prime,random,3,3,3,True,3,round_group,0.8218857637125137,rf,0.8224775367311377,-0.0005917730186240089,0.8224775367311377,0.8174573878405453,0.8088477748505276
jitter_R2_R3_R4_to_R7,46,B,grouped,5,3,3,,3,round_group,0.7312335025885333,rf,0.8224775367311377,-0.0912440341426044,0.8224775367311377,0.8174573878405453,0.8088477748505276
jitter_R2_R3_R4_to_R6_R7,42,A,random,5,5,3,,3,round_group,0.796911118856371,xgboost,0.797025777793998,-0.00011465893762696577,0.7857564694967087,0.797025777793998,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,42,A_prime,random,3,3,3,True,3,round_group,0.7963163191139868,xgboost,0.797025777793998,-0.0007094586800111546,0.7857564694967087,0.797025777793998,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,42,B,grouped,5,3,3,,3,round_group,0.7126399057919368,xgboost,0.797025777793998,-0.08438587200206116,0.7857564694967087,0.797025777793998,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,43,A,random,5,5,3,,3,round_group,0.7937114007077033,xgboost,0.7952758143880205,-0.0015644136803172337,0.7888563884614749,0.7952758143880205,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,43,A_prime,random,3,3,3,True,3,round_group,0.7955678982765473,xgboost,0.7952758143880205,0.0002920838885267507,0.7888563884614749,0.7952758143880205,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,43,B,grouped,5,3,3,,3,round_group,0.7227348878327501,xgboost,0.7952758143880205,-0.07254092655527045,0.7888563884614749,0.7952758143880205,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,44,A,random,5,5,3,,3,round_group,0.798653583262993,xgboost,0.7972520181692494,0.001401565093743562,0.7814058772072343,0.7972520181692494,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,44,A_prime,random,3,3,3,True,3,round_group,0.7940226840153197,xgboost,0.7972520181692494,-0.003229334153929675,0.7814058772072343,0.7972520181692494,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,44,B,grouped,5,3,3,,3,round_group,0.7178903403424794,xgboost,0.7972520181692494,-0.07936167782676995,0.7814058772072343,0.7972520181692494,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,45,A,random,5,5,3,,3,round_group,0.7936527535864027,xgboost,0.8015599271011714,-0.007907173514768662,0.7853689907707928,0.8015599271011714,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,45,A_prime,random,3,3,3,True,3,round_group,0.7972191087330246,xgboost,0.8015599271011714,-0.004340818368146815,0.7853689907707928,0.8015599271011714,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,45,B,grouped,5,3,3,,3,round_group,0.7176565268088982,xgboost,0.8015599271011714,-0.08390340029227317,0.7853689907707928,0.8015599271011714,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,46,A,random,5,5,3,,3,round_group,0.7997384610071188,xgboost,0.7985608824805603,0.0011775785265584204,0.785665928370906,0.7985608824805603,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,46,A_prime,random,3,3,3,True,3,round_group,0.7985014031543245,xgboost,0.7985608824805603,-5.9479326235845065e-05,0.785665928370906,0.7985608824805603,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,46,B,grouped,5,3,3,,3,round_group,0.7148799862279296,xgboost,0.7985608824805603,-0.08368089625263075,0.785665928370906,0.7985608824805603,0.7867283612645614
single_round_R2,42,A,random,5,5,5,,1,time_block,0.9559484718363223,rf,0.9576196593728327,-0.00167118753651041,0.9576196593728327,0.9521632581811665,0.9538573330267802
single_round_R2,42,A_prime,random,5,5,5,True,1,time_block,0.9559484718363223,rf,0.9576196593728327,-0.00167118753651041,0.9576196593728327,0.9521632581811665,0.9538573330267802
single_round_R2,42,B,grouped,5,5,5,,1,time_block,0.9576706940395923,rf,0.9576196593728327,5.1034666759597336e-05,0.9576196593728327,0.9521632581811665,0.9538573330267802
single_round_R2,43,A,random,5,5,5,,1,time_block,0.9744722220119144,xgboost,0.9762463683188385,-0.0017741463069240737,0.9742611544733434,0.9762463683188385,0.9708358165870654
single_round_R2,43,A_prime,random,5,5,5,True,1,time_block,0.9744722220119144,xgboost,0.9762463683188385,-0.0017741463069240737,0.9742611544733434,0.9762463683188385,0.9708358165870654
single_round_R2,43,B,grouped,5,5,5,,1,time_block,0.9744722220119144,xgboost,0.9762463683188385,-0.0017741463069240737,0.9742611544733434,0.9762463683188385,0.9708358165870654
single_round_R2,44,A,random,5,5,5,,1,time_block,0.9704567964031595,lightgbm,0.9704710511033451,-1.4254700185567515e-05,0.9685709662514792,0.964942271017987,0.9704710511033451
single_round_R2,44,A_prime,random,5,5,5,True,1,time_block,0.9704567964031595,lightgbm,0.9704710511033451,-1.4254700185567515e-05,0.9685709662514792,0.964942271017987,0.9704710511033451
single_round_R2,44,B,grouped,5,5,5,,1,time_block,0.9704567964031595,lightgbm,0.9704710511033451,-1.4254700185567515e-05,0.9685709662514792,0.964942271017987,0.9704710511033451
