class,task1,task2,cosine_similarity,l1_distance,error_rate_1,error_rate_2
Light_XM,single_round_R2,position_R2_R3_R4_to_R5,0.9970142336739335,0.12698412698412695,0.1009174311926605,0.17355371900826444
Light_XM,single_round_R2,jitter_R2_R3_R4_to_R6,0.9377682899489218,0.5207100591715976,0.1009174311926605,0.42784810126582273
Light_XM,single_round_R2,jitter_R2_R3_R4_to_R7,0.9065862675191373,0.6229508196721312,0.1009174311926605,0.30964467005076146
Light_XM,single_round_R3,single_round_R4,0.5883484054145521,1.25,0.09909909909909909,0.07272727272727275
Light_XM,single_round_R3,loro_R2_R3_to_R4,0.08754141077942501,1.8384401114206128,0.09909909909909909,0.9755434782608695
Light_XM,single_round_R3,loro_R2_R4_to_R3,0.010520488877435952,1.9797979797979797,0.09909909909909909,0.2682926829268293
Light_XM,single_round_R3,loro_R3_R4_to_R2,0.9626510742224591,0.45945945945945943,0.09909909909909909,0.20273972602739732
Light_XM,single_round_R3,joint_R2_R3_R4,0.48285731222676553,1.3043478260869565,0.09909909909909909,0.13897280966767367
Light_XM,single_round_R3,position_R2_R3_R4_to_R5,0.07234562484411688,1.873015873015873,0.09909909909909909,0.17355371900826444
Light_XM,single_round_R3,jitter_R2_R3_R4_to_R6,0.34157825841712297,1.4792899408284024,0.09909909909909909,0.42784810126582273
Light_XM,single_round_R3,jitter_R2_R3_R4_to_R7,0.41216786985544673,1.3770491803278688,0.09909909909909909,0.30964467005076146
Light_XM,single_round_R4,loro_R2_R3_to_R4,0.8329577374921807,0.8384401114206128,0.07272727272727275,0.9755434782608695
Light_XM,single_round_R4,loro_R2_R4_to_R3,0.7964097207051022,0.9191919191919191,0.07272727272727275,0.2682926829268293
Light_XM,single_round_R4,loro_R3_R4_to_R2,0.7816626723947129,0.7905405405405406,0.07272727272727275,0.20273972602739732
Light_XM,single_round_R4,joint_R2_R3_R4,0.9765536333140982,0.26086956521739135,0.07272727272727275,0.13897280966767367
Light_XM,single_round_R4,position_R2_R3_R4_to_R5,0.8371005159765266,0.746031746031746,0.07272727272727275,0.17355371900826444
Light_XM,single_round_R4,jitter_R2_R3_R4_to_R6,0.9439360202399726,0.4319526627218935,0.07272727272727275,0.42784810126582273
Light_XM,single_round_R4,jitter_R2_R3_R4_to_R7,0.9572301670759132,0.3770491803278688,0.07272727272727275,0.30964467005076146
Light_XM,loro_R2_R3_to_R4,loro_R2_R4_to_R3,0.9965304282476238,0.14135786837736697,0.9755434782608695,0.2682926829268293
Light_XM,loro_R2_R3_to_R4,loro_R3_R4_to_R2,0.35345228013364527,1.4060076789881804,0.9755434782608695,0.20273972602739732
Light_XM,loro_R2_R3_to_R4,joint_R2_R3_R4,0.9140889731157729,0.5775705462032215,0.9755434782608695,0.13897280966767367
Light_XM,loro_R2_R3_to_R4,position_R2_R3_R4_to_R5,0.9972666073358513,0.12698412698412698,0.9755434782608695,0.17355371900826444
Light_XM,loro_R2_R3_to_R4,jitter_R2_R3_R4_to_R6,0.9656362146962824,0.40648744869871933,0.9755434782608695,0.42784810126582273
Light_XM,loro_R2_R3_to_R4,jitter_R2_R3_R4_to_R7,0.9436918281637793,0.461390931092744,0.9755434782608695,0.30964467005076146
Light_XM,loro_R2_R4_to_R3,loro_R3_R4_to_R2,0.28072885390088653,1.5203385203385205,0.2682926829268293,0.20273972602739732
Light_XM,loro_R2_R4_to_R3,joint_R2_R3_R4,0.8807267926204679,0.6754501537110231,0.2682926829268293,0.13897280966767367
Light_XM,loro_R2_R4_to_R3,position_R2_R3_R4_to_R5,0.9972461352052089,0.17316017316017313,0.2682926829268293,0.17355371900826444
Light_XM,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R6,0.9433938675200227,0.5005080389695774,0.2682926829268293,0.42784810126582273
