task,feature_set,model,accuracy,precision,recall,macro_f1
position_R2_R3_R4_to_R5,selected_features,lightgbm,0.6745594713656388,0.6444132309250424,0.6751632491500252,0.6506896104581253
position_R2_R3_R4_to_R5,selected_features,extra_trees,0.6189427312775331,0.6095900717972433,0.6195959067776767,0.6087937945787203
position_R2_R3_R4_to_R5,selected_features,stacking,0.6591409691629956,0.6310694978857632,0.6597754986688751,0.6364689000576801
jitter_R2_R3_R4_to_R6,all_features,rf,0.7454728370221329,0.7646439045817709,0.7454067490400629,0.7488747806643499
jitter_R2_R3_R4_to_R6,all_features,xgboost,0.7756539235412475,0.7869961759883468,0.7759973896965254,0.7783647964241942
jitter_R2_R3_R4_to_R6,all_features,lightgbm,0.7605633802816901,0.793483282131859,0.7612020518954531,0.7640759809256255
jitter_R2_R3_R4_to_R6,all_features,extra_trees,0.7037223340040242,0.7249130918175268,0.7033765032093277,0.705445249510111
jitter_R2_R3_R4_to_R6,all_features,stacking,0.7691146881287726,0.7867638144765741,0.7694591609067576,0.7730661144614588
jitter_R2_R3_R4_to_R6,selected_features,rf,0.7188128772635815,0.7399238970360603,0.7187004188155592,0.7235211120580545
jitter_R2_R3_R4_to_R6,selected_features,xgboost,0.7605633802816901,0.7781704922678326,0.7609359132396115,0.7642082628599783
jitter_R2_R3_R4_to_R6,selected_features,lightgbm,0.7494969818913481,0.7828344587902689,0.7499668338100923,0.7545339195500207
jitter_R2_R3_R4_to_R6,selected_features,extra_trees,0.7007042253521126,0.7206416607251998,0.7003442559435349,0.7039484941565295
jitter_R2_R3_R4_to_R6,selected_features,stacking,0.7545271629778671,0.7749349393633524,0.7548372442287271,0.7593069021018432
jitter_R2_R3_R4_to_R7,all_features,rf,0.8208730556949323,0.8262179328651195,0.8198198646653854,0.8219721259799911
jitter_R2_R3_R4_to_R7,all_features,xgboost,0.814350225790266,0.8227743370366788,0.8134815047960793,0.8154367714214587
jitter_R2_R3_R4_to_R7,all_features,lightgbm,0.809332664325138,0.8256780028221676,0.8086142507793912,0.8088477748505276
jitter_R2_R3_R4_to_R7,all_features,extra_trees,0.7972905168088309,0.8006180448518077,0.7959496218398263,0.7967956471485002
jitter_R2_R3_R4_to_R7,all_features,stacking,0.8198695434019067,0.8284840626461291,0.8190767563215562,0.8204439830298785
jitter_R2_R3_R4_to_R7,selected_features,rf,0.8033115905669844,0.8091481086374571,0.8021605285960727,0.8048229768064875
jitter_R2_R3_R4_to_R7,selected_features,xgboost,0.8113396889111891,0.8218608340177569,0.8105328806723839,0.8118439743427526
jitter_R2_R3_R4_to_R7,selected_features,lightgbm,0.8083291520321124,0.8197739171652672,0.8074683115957481,0.8090841891410658
jitter_R2_R3_R4_to_R7,selected_features,extra_trees,0.8003010536879077,0.8029611209178953,0.7989773678456203,0.7998125773129142
jitter_R2_R3_R4_to_R7,selected_features,stacking,0.8098344204716508,0.818903112734308,0.8089617579461938,0.8109290591417523
jitter_R2_R3_R4_to_R6_R7,all_features,rf,0.7832202964079377,0.7950123514088613,0.7825790949566782,0.7857564694967087
jitter_R2_R3_R4_to_R6_R7,all_features,xgboost,0.7950263752825923,0.8047617556564134,0.7947632592203357,0.797025777793998
jitter_R2_R3_R4_to_R6_R7,all_features,lightgbm,0.7849786485807586,0.8095740935066738,0.7849361825198385,0.7867283612645614
jitter_R2_R3_R4_to_R6_R7,all_features,extra_trees,0.7505651846269782,0.7622779956914364,0.7496029820390061,0.7515681301677548
jitter_R2_R3_R4_to_R6_R7,all_features,stacking,0.7945239889475006,0.8075200031621435,0.7942930610545562,0.796911118856371
jitter_R2_R3_R4_to_R6_R7,selected_features,rf,0.7611152976639035,0.7735924094955501,0.7603966058607012,0.7643367870864328
jitter_R2_R3_R4_to_R6_R7,selected_features,xgboost,0.785983421250942,0.8000394547734597,0.7857414136057762,0.7880473015767231
jitter_R2_R3_R4_to_R6_R7,selected_features,lightgbm,0.7789500125596583,0.8008146582250033,0.7787037824841565,0.7818831903474408
jitter_R2_R3_R4_to_R6_R7,selected_features,extra_trees,0.7505651846269782,0.7608982447286265,0.7496152508227036,0.7521065424608167
jitter_R2_R3_R4_to_R6_R7,selected_features,stacking,0.7822155237377544,0.7968339729964535,0.7819052378621699,0.7852135270506653
