task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm,n_sources,target_env,grid_kind
g0_R2_R3_to_R5,42,B,grouped,5,2,2,,2,round_group,0.6636423394173017,rf,0.6649250626239468,-0.001282723206645131,0.6649250626239468,0.618446263058735,0.6394690098126882,2,R5,ood
g0_R2_R7_to_R5,42,A,random,5,5,2,,2,round_group,0.5525651213106977,rf,0.6193006721153218,-0.06673555080462412,0.6193006721153218,0.548190003656795,0.540539147739165,2,R5,ood
g0_R2_R7_to_R5,42,A_prime,random,2,2,2,True,2,round_group,0.5502920007000639,rf,0.6193006721153218,-0.0690086714152579,0.6193006721153218,0.548190003656795,0.540539147739165,2,R5,ood
g0_R2_R7_to_R5,42,B,grouped,5,2,2,,2,round_group,0.6008946897827764,rf,0.6193006721153218,-0.018405982332545423,0.6193006721153218,0.548190003656795,0.540539147739165,2,R5,ood
g0_R3_R7_to_R5,42,A,random,5,5,2,,2,round_group,0.6271491314050809,xgboost,0.6530281715919057,-0.025879040186824853,0.5643343559563307,0.6530281715919057,0.6133138272969779,2,R5,ood
g0_R3_R7_to_R5,42,A_prime,random,2,2,2,True,2,round_group,0.6302196414450778,xgboost,0.6530281715919057,-0.022808530146827932,0.5643343559563307,0.6530281715919057,0.6133138272969779,2,R5,ood
g0_R3_R7_to_R5,42,B,grouped,5,2,2,,2,round_group,0.5079158590287319,xgboost,0.6530281715919057,-0.1451123125631738,0.5643343559563307,0.6530281715919057,0.6133138272969779,2,R5,ood
g0_R6_R7_to_R5,42,A,random,5,5,2,,2,round_group,0.6467716622294337,rf,0.7076008932441107,-0.060829231014676965,0.7076008932441107,0.6165110723806535,0.628053081654179,2,R5,ood
g0_R6_R7_to_R5,42,A_prime,random,2,2,2,True,2,round_group,0.6451198376642879,rf,0.7076008932441107,-0.06248105557982275,0.7076008932441107,0.6165110723806535,0.628053081654179,2,R5,ood
g0_R6_R7_to_R5,42,B,grouped,5,2,2,,2,round_group,0.5942019934598642,rf,0.7076008932441107,-0.11339889978424644,0.7076008932441107,0.6165110723806535,0.628053081654179,2,R5,ood
