unit,arm,model,seed,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev_N1,dev_N6,dev_N30,stage1_acc
inner_to_R3,flat_full94,xgboost,44,0.5276304111997383,0.9307692307692308,0.10540540540540541,0.5902335456475584,0.013071895424836602,0.99867197875166,0.5276304111997383,0.5363764705882353,0.5333333333333333,
inner_to_R3,flat_full94,lightgbm,44,0.552736123006713,0.9391979301423027,0.14225941422594143,0.6081632653061224,0.07538802660753881,0.99867197875166,0.552736123006713,0.5286423254165189,0.5333333333333333,
inner_to_R3,flat_drop_rssi,rf,44,0.8226982432219103,0.9243027888446215,0.7313642756680732,0.662807525325615,0.7963446475195822,0.99867197875166,0.8226982432219103,0.9539752328941017,1.0,
inner_to_R3,flat_drop_rssi,xgboost,44,0.8428362305540655,0.9444444444444444,0.7244318181818182,0.7172995780590717,0.8293333333333334,0.99867197875166,0.8428362305540655,0.9771169033680496,1.0,
inner_to_R3,flat_drop_rssi,lightgbm,44,0.8460666794811063,0.9424083769633508,0.7212643678160919,0.7134670487106017,0.854521625163827,0.99867197875166,0.8460666794811063,0.9671277027481018,1.0,
inner_to_R3,flat_full94,rf,45,0.6007335814901814,0.9692923898531375,0.21223470661672908,0.633177570093458,0.19029126213592232,0.99867197875166,0.6007335814901814,0.5966377249643933,0.5454545454545455,
inner_to_R3,flat_full94,xgboost,45,0.5275090863358205,0.9355670103092784,0.10354223433242507,0.5953878406708596,0.00437636761487965,0.99867197875166,0.5275090863358205,0.5363090772693173,0.5371428571428571,
inner_to_R3,flat_full94,lightgbm,45,0.552736123006713,0.9391979301423027,0.14225941422594143,0.6081632653061224,0.07538802660753881,0.99867197875166,0.552736123006713,0.5286423254165189,0.5333333333333333,
inner_to_R3,flat_drop_rssi,rf,45,0.8205595863479018,0.9247027741083224,0.7163323782234957,0.6657223796033994,0.7973684210526316,0.99867197875166,0.8205595863479018,0.954,1.0,
inner_to_R3,flat_drop_rssi,xgboost,45,0.8458503745873671,0.9366754617414248,0.7324749642346209,0.7175141242937854,0.843915343915344,0.99867197875166,0.8458503745873671,0.9704799498044242,1.0,
inner_to_R3,flat_drop_rssi,lightgbm,45,0.8460666794811063,0.9424083769633508,0.7212643678160919,0.7134670487106017,0.854521625163827,0.99867197875166,0.8460666794811063,0.9671277027481018,1.0,
inner_to_R3,flat_full94,rf,46,0.6096824184182065,0.968,0.22531645569620254,0.629500580720093,0.22692307692307692,0.99867197875166,0.6096824184182065,0.5911002012998162,0.567843137254902,
inner_to_R3,flat_full94,xgboost,46,0.5327453476863594,0.9307692307692308,0.10684931506849316,0.597457627118644,0.029978586723768737,0.99867197875166,0.5327453476863594,0.5371250707413695,0.5333333333333333,
inner_to_R3,flat_full94,lightgbm,46,0.552736123006713,0.9391979301423027,0.14225941422594143,0.6081632653061224,0.07538802660753881,0.99867197875166,0.552736123006713,0.5286423254165189,0.5333333333333333,
inner_to_R3,flat_drop_rssi,rf,46,0.8141242354667387,0.9143610013175231,0.7104136947218259,0.6513629842180775,0.7958115183246073,0.99867197875166,0.8141242354667387,0.9506010641560761,1.0,
inner_to_R3,flat_drop_rssi,xgboost,46,0.848097850531218,0.9442970822281167,0.7366906474820144,0.7183098591549296,0.84251968503937,0.99867197875166,0.848097850531218,0.9771169033680496,1.0,
inner_to_R3,flat_drop_rssi,lightgbm,46,0.8460666794811063,0.9424083769633508,0.7212643678160919,0.7134670487106017,0.854521625163827,0.99867197875166,0.8460666794811063,0.9671277027481018,1.0,
inner_to_R4,flat_full94,rf,42,0.6592117370350504,0.9228650137741047,0.5403899721448467,0.046632124352331605,0.7861715749039693,1.0,0.6592117370350504,0.7127219945355192,0.7333333333333333,
inner_to_R4,flat_full94,xgboost,42,0.6618770405744276,0.9394347240915208,0.5262116716122651,0.04568527918781726,0.7980535279805353,1.0,0.6618770405744276,0.7187356003615025,0.7333333333333333,
inner_to_R4,flat_full94,lightgbm,42,0.6661799166983895,0.9378378378378378,0.5449160908193484,0.055,0.7931456548347613,1.0,0.6661799166983895,0.7202734515053244,0.7333333333333333,
inner_to_R4,flat_drop_rssi,rf,42,0.7161849600735065,0.627318718381113,0.5757225433526012,0.648936170212766,0.7289473684210527,1.0,0.7161849600735065,0.8554886625480046,0.984,
