unit,arm,model,seed,device,n_win,true_share,runner_up_share,margin,mode_correct
inner_to_R2,flat_drop_rssi,rf,46,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,xgboost,46,Camera,362,0.4723756906077348,0.3314917127071823,0.14088397790055252,1
inner_to_R2,flat_drop_rssi,xgboost,46,Light_T1,363,0.7548209366391184,0.12396694214876033,0.6308539944903581,1
inner_to_R2,flat_drop_rssi,xgboost,46,Light_XM,365,0.7945205479452054,0.12876712328767123,0.6657534246575342,1
inner_to_R2,flat_drop_rssi,xgboost,46,Sensor,363,0.8650137741046832,0.06611570247933884,0.7988980716253443,1
inner_to_R2,flat_drop_rssi,xgboost,46,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,lightgbm,46,Camera,362,0.49171270718232046,0.27071823204419887,0.2209944751381216,1
inner_to_R2,flat_drop_rssi,lightgbm,46,Light_T1,363,0.7410468319559229,0.10743801652892562,0.6336088154269973,1
inner_to_R2,flat_drop_rssi,lightgbm,46,Light_XM,365,0.7753424657534247,0.12054794520547946,0.6547945205479453,1
inner_to_R2,flat_drop_rssi,lightgbm,46,Sensor,363,0.8650137741046832,0.05785123966942149,0.8071625344352616,1
inner_to_R2,flat_drop_rssi,lightgbm,46,Socket,363,1.0,0.0,1.0,1
inner_to_R3,flat_full94,rf,42,Camera,365,0.9917808219178083,0.005479452054794521,0.9863013698630138,1
inner_to_R3,flat_full94,rf,42,Light_T1,363,0.24242424242424243,0.4931129476584022,-0.25068870523415976,0
inner_to_R3,flat_full94,rf,42,Light_XM,369,0.7317073170731707,0.25745257452574527,0.47425474254742545,1
inner_to_R3,flat_full94,rf,42,Sensor,364,0.18681318681318682,0.6373626373626373,-0.4505494505494505,0
inner_to_R3,flat_full94,rf,42,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,xgboost,42,Camera,365,0.9945205479452055,0.005479452054794521,0.989041095890411,1
inner_to_R3,flat_full94,xgboost,42,Light_T1,363,0.11570247933884298,0.6225895316804407,-0.5068870523415978,0
inner_to_R3,flat_full94,xgboost,42,Light_XM,369,0.7560975609756098,0.17886178861788618,0.5772357723577236,1
inner_to_R3,flat_full94,xgboost,42,Sensor,364,0.016483516483516484,0.7417582417582418,-0.7252747252747253,0
inner_to_R3,flat_full94,xgboost,42,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,lightgbm,42,Camera,365,0.9945205479452055,0.005479452054794521,0.989041095890411,1
inner_to_R3,flat_full94,lightgbm,42,Light_T1,363,0.14049586776859505,0.6639118457300276,-0.5234159779614326,0
inner_to_R3,flat_full94,lightgbm,42,Light_XM,369,0.8075880758807588,0.14092140921409213,0.6666666666666666,1
inner_to_R3,flat_full94,lightgbm,42,Sensor,364,0.046703296703296704,0.6840659340659341,-0.6373626373626373,0
inner_to_R3,flat_full94,lightgbm,42,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_drop_rssi,rf,42,Camera,365,0.9643835616438357,0.024657534246575342,0.9397260273972603,1
inner_to_R3,flat_drop_rssi,rf,42,Light_T1,363,0.699724517906336,0.18457300275482094,0.5151515151515151,1
inner_to_R3,flat_drop_rssi,rf,42,Light_XM,369,0.6097560975609756,0.17073170731707318,0.4390243902439024,1
inner_to_R3,flat_drop_rssi,rf,42,Sensor,364,0.8406593406593407,0.08516483516483517,0.7554945054945055,1
inner_to_R3,flat_drop_rssi,rf,42,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_drop_rssi,xgboost,42,Camera,365,0.9753424657534246,0.010958904109589041,0.9643835616438357,1
inner_to_R3,flat_drop_rssi,xgboost,42,Light_T1,363,0.7162534435261708,0.1763085399449036,0.5399449035812672,1
inner_to_R3,flat_drop_rssi,xgboost,42,Light_XM,369,0.6856368563685636,0.16531165311653118,0.5203252032520325,1
inner_to_R3,flat_drop_rssi,xgboost,42,Sensor,364,0.8681318681318682,0.06318681318681318,0.804945054945055,1
inner_to_R3,flat_drop_rssi,xgboost,42,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_drop_rssi,lightgbm,42,Camera,365,0.9863013698630136,0.005479452054794521,0.9808219178082191,1
inner_to_R3,flat_drop_rssi,lightgbm,42,Light_T1,363,0.6914600550964187,0.18457300275482094,0.5068870523415978,1
inner_to_R3,flat_drop_rssi,lightgbm,42,Light_XM,369,0.6747967479674797,0.16260162601626016,0.5121951219512195,1
inner_to_R3,flat_drop_rssi,lightgbm,42,Sensor,364,0.8956043956043956,0.054945054945054944,0.8406593406593407,1
inner_to_R3,flat_drop_rssi,lightgbm,42,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,rf,43,Camera,365,0.9945205479452055,0.005479452054794521,0.989041095890411,1
inner_to_R3,flat_full94,rf,43,Light_T1,363,0.24242424242424243,0.49586776859504134,-0.2534435261707989,0
inner_to_R3,flat_full94,rf,43,Light_XM,369,0.7317073170731707,0.25203252032520324,0.4796747967479675,1
inner_to_R3,flat_full94,rf,43,Sensor,364,0.16758241758241757,0.6593406593406593,-0.4917582417582418,0
inner_to_R3,flat_full94,rf,43,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,xgboost,43,Camera,365,0.9945205479452055,0.005479452054794521,0.989041095890411,1
inner_to_R3,flat_full94,xgboost,43,Light_T1,363,0.12396694214876033,0.6336088154269972,-0.5096418732782368,0
inner_to_R3,flat_full94,xgboost,43,Light_XM,369,0.7588075880758808,0.17615176151761516,0.5826558265582656,1
inner_to_R3,flat_full94,xgboost,43,Sensor,364,0.0027472527472527475,0.7417582417582418,-0.739010989010989,0
inner_to_R3,flat_full94,xgboost,43,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,lightgbm,43,Camera,365,0.9945205479452055,0.005479452054794521,0.989041095890411,1
inner_to_R3,flat_full94,lightgbm,43,Light_T1,363,0.14049586776859505,0.6639118457300276,-0.5234159779614326,0
inner_to_R3,flat_full94,lightgbm,43,Light_XM,369,0.8075880758807588,0.14092140921409213,0.6666666666666666,1
inner_to_R3,flat_full94,lightgbm,43,Sensor,364,0.046703296703296704,0.6840659340659341,-0.6373626373626373,0
inner_to_R3,flat_full94,lightgbm,43,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_drop_rssi,rf,43,Camera,365,0.9561643835616438,0.03561643835616438,0.9205479452054794,1
inner_to_R3,flat_drop_rssi,rf,43,Light_T1,363,0.7024793388429752,0.18457300275482094,0.5179063360881543,1
inner_to_R3,flat_drop_rssi,rf,43,Light_XM,369,0.6205962059620597,0.17073170731707318,0.44986449864498645,1
inner_to_R3,flat_drop_rssi,rf,43,Sensor,364,0.8379120879120879,0.07417582417582418,0.7637362637362638,1
