unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
jit_R6,flat_drop_rssi,43,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,override_gate3,43,lightgbm,0.7859034266158459,0.9057104913678619,0.677382319173364,0.6329411764705882,0.7134831460674157,1.0,1.0,66,894
jit_R6,override_anyfam_loose,43,lightgbm,0.7009883594414159,0.5714285714285714,0.677382319173364,0.5220883534136547,0.7340425531914894,1.0,0.8333333333333334,66,1543
jit_R6,ovo_full94,43,lightgbm,0.7893779797949184,0.9270166453265045,0.6225165562913907,0.6703296703296703,0.727027027027027,1.0,1.0,66,0
jit_R6,flat_full94,44,rf,0.7388432947600209,0.8,0.6,0.6106442577030813,0.6835722160970231,1.0,0.9545454545454546,66,0
jit_R6,flat_drop_rssi,44,rf,0.6995793706584985,0.5759162303664922,0.5910064239828694,0.5978552278820375,0.7331189710610932,1.0,0.9090909090909091,66,0
jit_R6,override_gate3,44,rf,0.7561799694558315,0.8,0.6317016317016317,0.6293706293706294,0.7198275862068966,1.0,0.9848484848484849,66,1028
jit_R6,override_anyfam_loose,44,rf,0.7002463973006992,0.59375,0.6303592120509849,0.5412311265969802,0.7358916478555305,1.0,0.8939393939393939,66,1378
jit_R6,ovo_full94,44,rf,0.6767024495499756,0.5046728971962616,0.6188436830835118,0.5940337224383917,0.6659619450317125,1.0,0.8333333333333334,66,0
jit_R6,flat_full94,44,xgboost,0.7774190074750142,0.8952879581151832,0.6278481012658228,0.6487093153759821,0.7152496626180836,1.0,1.0,66,0
jit_R6,flat_drop_rssi,44,xgboost,0.7403680416247527,0.6655683690280065,0.6221248630887185,0.6372155287817939,0.7769314472252449,1.0,0.9848484848484849,66,0
jit_R6,override_gate3,44,xgboost,0.7868309610979843,0.8952879581151832,0.6682634730538922,0.6270136307311028,0.7435897435897436,1.0,0.9848484848484849,66,911
