unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
pos_R5,flat_drop_rssi,43,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,flat_drop_rssi,44,xgboost,0.7342433967721986,0.6319444444444444,0.5369318181818182,0.7903225806451613,0.7120181405895691,1.0,0.9333333333333333,60,0
pos_R5,flat_drop_rssi,45,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,flat_drop_rssi,46,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,flat_full94,42,rf,0.7012224296594887,0.8849557522123894,0.2913907284768212,0.681044267877412,0.648721399730821,1.0,0.8166666666666667,60,0
pos_R5,flat_full94,43,rf,0.696014444295626,0.8849557522123894,0.26981450252951095,0.6825396825396826,0.6427622841965471,1.0,0.8,60,0
pos_R5,flat_full94,44,rf,0.6914411164347813,0.8545454545454545,0.28052805280528054,0.677309007981756,0.6448230668414154,1.0,0.8,60,0
pos_R5,flat_full94,45,rf,0.6935335986677011,0.8597285067873304,0.28760330578512394,0.6842105263157895,0.6361256544502618,1.0,0.8,60,0
pos_R5,flat_full94,46,rf,0.6977284530738025,0.8703427719821163,0.2871452420701169,0.6884875846501128,0.6426666666666667,1.0,0.8,60,0
pos_R5,override_anyfam_loose,42,rf,0.734729463661429,0.8875912408759125,0.3758620689655172,0.7161066048667439,0.6940874035989717,1.0,0.8833333333333333,60,1282
pos_R5,override_anyfam_loose,43,rf,0.7318900955162386,0.890190336749634,0.3642611683848797,0.7169373549883991,0.6880616174582799,1.0,0.8333333333333334,60,1287
pos_R5,override_anyfam_loose,44,rf,0.7335480584652072,0.8757396449704142,0.3822525597269625,0.7200929152148664,0.6896551724137931,1.0,0.8833333333333333,60,1293
pos_R5,override_anyfam_loose,45,rf,0.7292020594821154,0.8686567164179104,0.3765112262521589,0.7207415990730012,0.6801007556675063,1.0,0.8833333333333333,60,1287
