unit,unit_type,config,model,seed,n_cols,win_macro_f1,dev_N6_macro_f1,dev_N6_n_blocks,dev_N30_macro_f1,dev_N30_n_blocks
inner_to_R4,inner,drop_rssi,xgboost::Light_XM,42,86,0.7044854881266491,,,,
inner_to_R4,inner,drop_rssi,xgboost::Sensor,42,86,0.7475592747559274,,,,
inner_to_R4,inner,drop_rssi,xgboost::Socket,42,86,1.0,,,,
inner_to_R4,inner,drop_rssi,lightgbm::Camera,42,86,0.7630769230769231,,,,
inner_to_R4,inner,drop_rssi,lightgbm::Light_T1,42,86,0.6258823529411764,,,,
inner_to_R4,inner,drop_rssi,lightgbm::Light_XM,42,86,0.6816380449141347,,,,
inner_to_R4,inner,drop_rssi,lightgbm::Sensor,42,86,0.7517531556802244,,,,
inner_to_R4,inner,drop_rssi,lightgbm::Socket,42,86,1.0,,,,
inner_to_R4,inner,drop_rssi,stacking::Camera,42,86,0.7354138398914518,,,,
inner_to_R4,inner,drop_rssi,stacking::Light_T1,42,86,0.631979695431472,,,,
inner_to_R4,inner,drop_rssi,stacking::Light_XM,42,86,0.6783783783783783,,,,
inner_to_R4,inner,drop_rssi,stacking::Sensor,42,86,0.7404255319148936,,,,
inner_to_R4,inner,drop_rssi,stacking::Socket,42,86,1.0,,,,
pos_R5,outer,drop_rssi,rf,42,86,0.6756305912756534,0.8127996130394731,304.0,0.8654545454545455,60.0
pos_R5,outer,drop_rssi,xgboost,42,86,0.7288858292769937,0.8358947018900162,304.0,0.9327184892402283,60.0
pos_R5,outer,drop_rssi,lightgbm,42,86,0.7334187064794107,0.8629451839961465,304.0,0.9327184892402283,60.0
pos_R5,outer,drop_rssi,stacking,42,86,0.7195077410079656,0.852126594060539,304.0,0.9327184892402283,60.0
pos_R5,outer,drop_rssi,rf::Camera,42,86,0.5212765957446809,,,,
pos_R5,outer,drop_rssi,rf::Light_T1,42,86,0.4653179190751445,,,,
pos_R5,outer,drop_rssi,rf::Light_XM,42,86,0.7324675324675325,,,,
pos_R5,outer,drop_rssi,rf::Sensor,42,86,0.6590909090909091,,,,
pos_R5,outer,drop_rssi,rf::Socket,42,86,1.0,,,,
pos_R5,outer,drop_rssi,xgboost::Camera,42,86,0.6167247386759582,,,,
pos_R5,outer,drop_rssi,xgboost::Light_T1,42,86,0.5374823196605375,,,,
pos_R5,outer,drop_rssi,xgboost::Light_XM,42,86,0.7817938420348058,,,,
pos_R5,outer,drop_rssi,xgboost::Sensor,42,86,0.7084282460136674,,,,
pos_R5,outer,drop_rssi,xgboost::Socket,42,86,1.0,,,,
pos_R5,outer,drop_rssi,lightgbm::Camera,42,86,0.624561403508772,,,,
pos_R5,outer,drop_rssi,lightgbm::Light_T1,42,86,0.5521126760563381,,,,
pos_R5,outer,drop_rssi,lightgbm::Light_XM,42,86,0.7860026917900403,,,,
pos_R5,outer,drop_rssi,lightgbm::Sensor,42,86,0.7044167610419027,,,,
pos_R5,outer,drop_rssi,lightgbm::Socket,42,86,1.0,,,,
pos_R5,outer,drop_rssi,stacking::Camera,42,86,0.632258064516129,,,,
pos_R5,outer,drop_rssi,stacking::Light_T1,42,86,0.5096870342771982,,,,
pos_R5,outer,drop_rssi,stacking::Light_XM,42,86,0.7639836289222374,,,,
pos_R5,outer,drop_rssi,stacking::Sensor,42,86,0.691609977324263,,,,
pos_R5,outer,drop_rssi,stacking::Socket,42,86,1.0,,,,
jit_R6,outer,drop_rssi,rf,42,86,0.6983582416835513,0.8383391196522497,333.0,0.9073782991202346,66.0
jit_R6,outer,drop_rssi,xgboost,42,86,0.7392245027348717,0.8906396803937202,333.0,1.0,66.0
jit_R6,outer,drop_rssi,lightgbm,42,86,0.7434294873428366,0.8998623817343029,333.0,1.0,66.0
