window_start,window_id,round,oof_rf_Camera,oof_rf_Light_T1,oof_rf_Light_XM,oof_rf_Sensor,oof_rf_Socket,oof_xgboost_Camera,oof_xgboost_Light_T1,oof_xgboost_Light_XM,oof_xgboost_Sensor,oof_xgboost_Socket,oof_lightgbm_Camera,oof_lightgbm_Light_T1,oof_lightgbm_Light_XM,oof_lightgbm_Sensor,oof_lightgbm_Socket,true_label
2074.6531496047974,207,R5,0.004,0.024,0.952,0.02,0.0,0.00010482752986717969,0.0006644482491537929,0.9980892539024353,0.0008860193192958832,0.00025542310322634876,5.410714366276934e-08,1.9634439554367853e-07,0.9999991681569861,2.1603576197981785e-07,3.6535571289994037e-07,Light_XM
200.7972514629364,20,R5,0.092,0.862,0.036,0.006,0.004,0.0006339674000628293,0.9986380934715271,0.0002164608595194295,0.00015709761646576226,0.00035434262827038765,3.9799730966211795e-07,0.9999981855838592,6.78587950659881e-07,1.2337387022501566e-07,6.144570102176565e-07,Light_T1
2252.2534103393555,225,R5,0.992,0.006,0.002,0.0,0.0,0.9997766613960266,4.696550968219526e-05,6.256000051507726e-05,3.3818887459347025e-05,8.002659888006747e-05,0.9999999469616992,7.3591866440532495e-09,1.719757875430352e-08,4.160290530283511e-09,2.432124494897035e-08,Camera
2820.468243598938,282,R5,0.002,0.0,0.0,0.0,0.998,0.00019888252427335829,0.0005244277999736369,0.00018426968017593026,6.335406214930117e-05,0.9990290403366089,1.4939043709800077e-07,9.822125694197709e-08,1.8772173282634668e-07,1.0063004094151509e-08,0.999999554603569,Socket
844.3840186595917,84,R5,0.026,0.948,0.014,0.012,0.0,0.0002249100652989,0.9994440674781799,0.00011330671986797825,7.959269714774564e-05,0.00013813558325637132,3.1862082531267876e-08,0.9999998235568837,5.4048295222107855e-08,2.2165727231047358e-08,6.836701130546326e-08,Light_T1
661.6273090839386,66,R5,0.046,0.918,0.014,0.022,0.0,0.0005335041205398738,0.9991433620452881,0.00013166572898626328,6.78418655297719e-05,0.0001236011303262785,4.467140366634008e-07,0.9999994177743262,6.279830154086745e-08,2.5840155125820717e-08,4.6873180426173216e-08,Light_T1
703.2820868492126,70,R5,0.002,0.002,0.836,0.158,0.002,0.00012444470485206693,0.00017411616863682866,0.9964972138404846,0.002907325280830264,0.000296972953947261,8.755840966270883e-08,1.0109776582682908e-07,0.9999976796701935,1.8264585716453349e-06,3.0521505928478036e-07,Light_XM
3411.0086953639984,341,R5,0.0,0.0,0.0,0.0,1.0,0.00023204591707326472,0.0012064282782375813,0.00015630062262061983,0.00012050340592395514,0.998284637928009,1.0301003507410392e-07,1.253563820342892e-06,1.4952906815790528e-07,1.2979551482706226e-08,0.999998480917525,Socket
1210.032329082489,121,R5,0.0,0.0,0.0,0.0,1.0,0.0005329501000232995,0.00043546021333895624,0.0001067401681211777,0.00010482137440703809,0.9988200068473816,5.474096856550688e-07,1.7024233242765689e-07,1.6594629704335492e-08,1.5649278017212715e-08,0.9999992501040741,Socket
3101.848879814148,310,R5,0.136,0.02,0.418,0.426,0.0,0.006881949491798878,0.0010683920700103045,0.9747127294540405,0.01670996844768524,0.0006268979050219059,4.089896017748175e-06,3.7582018230630264e-07,0.999899946279888,9.513489852899291e-05,4.5310538316025693e-07,Light_XM
2112.1126747131348,211,R5,0.696,0.252,0.006,0.046,0.0,0.9086260199546814,0.08803698420524597,0.0013330428628250957,0.0009073581895790994,0.001096629537642002,0.9991566339144826,0.0008351470639864806,4.986276971195115e-06,9.130791610406826e-07,2.319665398356817e-06,Camera
50.46636748313904,5,R5,0.1,0.81,0.054,0.032,0.004,0.002567683346569538,0.9945096373558044,0.0009027249179780483,0.0006795473746024072,0.0013404845958575606,5.724201588708773e-07,0.9999978301346514,7.896560914907106e-07,1.7740613144767726e-07,6.30382966851753e-07,Light_T1
322.3988347053528,32,R5,0.034,0.094,0.806,0.066,0.0,0.00022099587658885866,0.0013429777463898063,0.9977627992630005,0.0003469469666015357,0.0003262679965700954,1.756933672623788e-07,4.891278024536145e-06,0.9999939346512147,2.2226433537763567e-07,7.761130581134628e-07,Light_XM
1740.898542881012,174,R5,0.044,0.948,0.0,0.008,0.0,0.00031029508681967854,0.999394416809082,6.498074071714655e-05,9.853875963017344e-05,0.0001317730639129877,3.834707934097842e-08,0.9999998521791572,1.513683190458286e-08,3.5541198209307516e-08,5.879573311286009e-08,Light_T1
1791.791902065277,179,R5,0.826,0.17,0.002,0.0,0.002,0.9974752068519592,0.0018489731010049582,0.00017248044605366886,0.00019151072774548084,0.0003118597960565239,0.999994870925789,4.387156452303286e-06,1.2494792603400436e-07,1.866129778906108e-07,4.303568548500307e-07,Camera
211.1521153450012,21,R5,0.0,0.0,0.0,0.0,1.0,0.00015818860265426338,0.0008704078500159085,0.0001456017926102504,7.459213520633057e-05,0.998751163482666,4.6597787936682305e-08,1.372448670076394e-06,6.104778068244758e-08,1.1504547328410108e-08,0.999998508401214,Socket
