task,feature_set,model,accuracy,precision,recall,macro_f1
position_R2_R3_R4_to_R5,selected_features,lightgbm,0.6657488986784141,0.6378293997187311,0.6663522630583996,0.6410335943648059
position_R2_R3_R4_to_R5,selected_features,extra_trees,0.6189427312775331,0.6095900717972433,0.6195959067776767,0.6087937945787203
position_R2_R3_R4_to_R5,selected_features,stacking,0.6596916299559471,0.6354032488077714,0.6603143869288093,0.6379308645898858
jitter_R2_R3_R4_to_R6,all_features,rf,0.7454728370221329,0.7646439045817709,0.7454067490400629,0.7488747806643499
jitter_R2_R3_R4_to_R6,all_features,xgboost,0.7756539235412475,0.7869961759883468,0.7759973896965254,0.7783647964241942
jitter_R2_R3_R4_to_R6,all_features,lightgbm,0.761569416498994,0.7957449888697264,0.762189641800437,0.7645904906531967
jitter_R2_R3_R4_to_R6,all_features,extra_trees,0.7037223340040242,0.7249130918175268,0.7033765032093277,0.705445249510111
jitter_R2_R3_R4_to_R6,all_features,stacking,0.7681086519114688,0.7871490772493983,0.7685079475540884,0.772201585571799
jitter_R2_R3_R4_to_R6,selected_features,rf,0.7188128772635815,0.7399238970360603,0.7187004188155592,0.7235211120580545
jitter_R2_R3_R4_to_R6,selected_features,xgboost,0.7605633802816901,0.7781704922678326,0.7609359132396115,0.7642082628599783
jitter_R2_R3_R4_to_R6,selected_features,lightgbm,0.7404426559356136,0.776155669851036,0.7408337246456448,0.7442637587406203
jitter_R2_R3_R4_to_R6,selected_features,extra_trees,0.7007042253521126,0.7206416607251998,0.7003442559435349,0.7039484941565295
jitter_R2_R3_R4_to_R6,selected_features,stacking,0.7540241448692153,0.7761355667511969,0.7542907102239573,0.7582865482768962
jitter_R2_R3_R4_to_R7,all_features,rf,0.8208730556949323,0.8262179328651195,0.8198198646653854,0.8219721259799911
jitter_R2_R3_R4_to_R7,all_features,xgboost,0.814350225790266,0.8227743370366788,0.8134815047960793,0.8154367714214587
jitter_R2_R3_R4_to_R7,all_features,lightgbm,0.8133467134972403,0.829217245184739,0.8126370237686906,0.8128590947326917
jitter_R2_R3_R4_to_R7,all_features,extra_trees,0.7972905168088309,0.8006180448518077,0.7959496218398263,0.7967956471485002
jitter_R2_R3_R4_to_R7,all_features,stacking,0.8178625188158555,0.8264497701997134,0.8170526605491304,0.8184813189414575
jitter_R2_R3_R4_to_R7,selected_features,rf,0.8033115905669844,0.8091481086374571,0.8021605285960727,0.8048229768064875
jitter_R2_R3_R4_to_R7,selected_features,xgboost,0.8113396889111891,0.8218608340177569,0.8105328806723839,0.8118439743427526
jitter_R2_R3_R4_to_R7,selected_features,lightgbm,0.8098344204716508,0.824492328829816,0.8090065107183158,0.8108054370367362
jitter_R2_R3_R4_to_R7,selected_features,extra_trees,0.8003010536879077,0.8029611209178953,0.7989773678456203,0.7998125773129142
jitter_R2_R3_R4_to_R7,selected_features,stacking,0.8133467134972403,0.8227234486643871,0.8124972593933751,0.8142980150167354
jitter_R2_R3_R4_to_R6_R7,all_features,rf,0.7832202964079377,0.7950123514088613,0.7825790949566782,0.7857564694967087
jitter_R2_R3_R4_to_R6_R7,all_features,xgboost,0.7950263752825923,0.8047617556564134,0.7947632592203357,0.797025777793998
jitter_R2_R3_R4_to_R6_R7,all_features,lightgbm,0.787490580256217,0.812379876729743,0.7874351283260149,0.7890191362647092
jitter_R2_R3_R4_to_R6_R7,all_features,extra_trees,0.7505651846269782,0.7622779956914364,0.7496029820390061,0.7515681301677548
jitter_R2_R3_R4_to_R6_R7,all_features,stacking,0.7930168299422256,0.806507052381668,0.7928005624592744,0.7954910175865477
jitter_R2_R3_R4_to_R6_R7,selected_features,rf,0.7611152976639035,0.7735924094955501,0.7603966058607012,0.7643367870864328
jitter_R2_R3_R4_to_R6_R7,selected_features,xgboost,0.785983421250942,0.8000394547734597,0.7857414136057762,0.7880473015767231
jitter_R2_R3_R4_to_R6_R7,selected_features,lightgbm,0.7751821150464707,0.8003307763920645,0.7749175155789535,0.7778743547987902
jitter_R2_R3_R4_to_R6_R7,selected_features,extra_trees,0.7505651846269782,0.7608982447286265,0.7496152508227036,0.7521065424608167
jitter_R2_R3_R4_to_R6_R7,selected_features,stacking,0.7837226827430294,0.7993432574174614,0.7834063547927982,0.786495379511012
