filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,lightgbm,94,0.676762114537445,0.6538256600420876,0.6773309031363427,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,rf,94,0.711453744493392,0.7064556600220291,0.7119468617496043,0.7012224296594887,0.8849557522123894,0.2913907284768212,0.681044267877412,0.648721399730821,1.0
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,stacking,94,0.6833700440528634,0.6679410442215727,0.6839016545813571,0.6678293830376971,0.878698224852071,0.18394648829431437,0.7039106145251397,0.5725915875169606,1.0
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,xgboost,94,0.6855726872246696,0.6475509489947956,0.6861976528250102,0.6603072409777727,0.9226441631504922,0.09540636042402827,0.7036199095022625,0.5798657718120805,1.0
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,selected_features,extra_trees,60,0.6189427312775331,0.6095900717972433,0.6195959067776767,0.6087937945787203,0.8989751098096632,0.019801980198019802,0.501628664495114,0.6235632183908046,1.0
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,selected_features,lightgbm,60,0.6745594713656388,0.6444132309250424,0.6751632491500252,0.6506896104581253,0.8751835535976505,0.11091234347048301,0.7041942604856513,0.5631578947368421,1.0
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,selected_features,rf,60,0.6662995594713657,0.6594411458009447,0.666849110745136,0.6540706309859254,0.8670694864048338,0.1799660441426146,0.6225165562913907,0.6008010680907877,1.0
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,selected_features,stacking,60,0.6591409691629956,0.6310694978857632,0.6597754986688751,0.6364689000576801,0.8905547226386806,0.06417112299465241,0.665938864628821,0.5616797900262467,1.0
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,selected_features,xgboost,60,0.6685022026431718,0.630821612458574,0.6691539908000281,0.6432364714395001,0.9221902017291066,0.05366726296958855,0.6688963210702341,0.5714285714285714,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,extra_trees,94,0.9486238532110092,0.9482812682812684,0.9486238532110092,0.9483689280463061,0.9954337899543378,0.8818181818181818,0.8691588785046729,0.9954337899543378,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,lightgbm,94,0.9541284403669725,0.954187934064095,0.9541284403669724,0.9538573330267802,1.0,0.8815165876777251,0.8968609865470852,0.990909090909091,1.0
