task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm,n_sources,target_env,grid_kind
g0_R6_R7_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.6121257715379558,rf,0.7419949386364052,-0.1298691670984494,0.7419949386364052,0.5597205384234974,0.6204807939784249,2,R3,ood
g0_R6_R7_to_R3,42,B,grouped,5,2,2,,2,round_group,0.5129223440880152,rf,0.7419949386364052,-0.22907259454839,0.7419949386364052,0.5597205384234974,0.6204807939784249,2,R3,ood
g0_R2_R4_R5_to_R3,42,A,random,5,5,3,,3,round_group,0.6358026599852941,rf,0.7043397850824636,-0.0685371250971695,0.7043397850824636,0.6160610925553478,0.6440916665729561,3,R3,ood
g0_R2_R4_R5_to_R3,42,A_prime,random,3,3,3,True,3,round_group,0.6285088515514847,rf,0.7043397850824636,-0.0758309335309789,0.7043397850824636,0.6160610925553478,0.6440916665729561,3,R3,ood
g0_R2_R4_R5_to_R3,42,B,grouped,5,3,3,,3,round_group,0.7404482936535585,rf,0.7043397850824636,0.0361085085710948,0.7043397850824636,0.6160610925553478,0.6440916665729561,3,R3,ood
g0_R2_R4_R6_to_R3,42,A,random,5,5,3,,3,round_group,0.6066357781771107,rf,0.6840850926983947,-0.077449314521284,0.6840850926983947,0.5978465318097632,0.6094208535572125,3,R3,ood
g0_R2_R4_R6_to_R3,42,A_prime,random,3,3,3,True,3,round_group,0.6086482406816662,rf,0.6840850926983947,-0.0754368520167284,0.6840850926983947,0.5978465318097632,0.6094208535572125,3,R3,ood
g0_R2_R4_R6_to_R3,42,B,grouped,5,3,3,,3,round_group,0.6270308701366376,rf,0.6840850926983947,-0.057054222561757,0.6840850926983947,0.5978465318097632,0.6094208535572125,3,R3,ood
g0_R2_R4_R7_to_R3,42,A,random,5,5,3,,3,round_group,0.6216300249349025,rf,0.6864867025883405,-0.064856677653438,0.6864867025883405,0.617585348824503,0.6272094154060975,3,R3,ood
g0_R2_R4_R7_to_R3,42,A_prime,random,3,3,3,True,3,round_group,0.6259096572562313,rf,0.6864867025883405,-0.0605770453321092,0.6864867025883405,0.617585348824503,0.6272094154060975,3,R3,ood
g0_R2_R4_R7_to_R3,42,B,grouped,5,3,3,,3,round_group,0.6354659752626322,rf,0.6864867025883405,-0.0510207273257083,0.6864867025883405,0.617585348824503,0.6272094154060975,3,R3,ood
g0_R2_R5_R6_to_R3,42,A,random,5,5,3,,3,round_group,0.7350258909125916,rf,0.7872241775787381,-0.0521982866661464,0.7872241775787381,0.7309364965175494,0.73181376492139,3,R3,ood
g0_R2_R5_R6_to_R3,42,A_prime,random,3,3,3,True,3,round_group,0.7341537479223138,rf,0.7872241775787381,-0.0530704296564242,0.7872241775787381,0.7309364965175494,0.73181376492139,3,R3,ood
g0_R2_R5_R6_to_R3,42,B,grouped,5,3,3,,3,round_group,0.7305607481176638,rf,0.7872241775787381,-0.0566634294610742,0.7872241775787381,0.7309364965175494,0.73181376492139,3,R3,ood
g0_R2_R5_R7_to_R3,42,A,random,5,5,3,,3,round_group,0.7346329669957052,rf,0.7725428960282625,-0.0379099290325573,0.7725428960282625,0.7294041542833163,0.7344958030029632,3,R3,ood
