task,seed,A,A_prime,B,fold_effect_A_to_Aprime,group_effect_Aprime_to_B,total_A_to_B
g0_R4_to_R3,42,-0.0861115997599921,-0.0861115997599921,-0.0602150488918291,0.0,0.025896550868162997,0.025896550868162997
g0_R4_to_R5,42,-0.0518213421999436,-0.0518213421999436,-0.0144940191277334,0.0,0.037327323072210206,0.037327323072210206
g0_R4_to_R6,42,-0.0266757779163578,-0.0266757779163578,-0.0356730592649763,0.0,-0.008997281348618498,-0.008997281348618498
g0_R4_to_R7,42,-0.0844919211018048,-0.0844919211018048,-0.096079541941821,0.0,-0.011587620840016202,-0.011587620840016202
g0_R5_R6_R7_to_R2,42,-0.0085816698854321,-0.004056416035415,0.0087347513734321,0.004525253850017099,0.012791167408847101,0.0173164212588642
g0_R5_R6_R7_to_R3,42,0.0016839411110132,0.0002480365470164,0.0010389373179018,-0.0014359045639968,0.0007909007708854,-0.0006450037931114
g0_R5_R6_R7_to_R4,42,0.0008917797135884,0.0045319102404162,0.0152235090055332,0.0036401305268278002,0.010691598765117001,0.0143317292919448
g0_R5_R6_to_R2,42,-0.0215737217271361,-0.0123606548466128,-0.1160302552229013,0.009213066880523299,-0.1036696003762885,-0.09445653349576519
g0_R5_R6_to_R3,42,-0.0028149803528247,-0.0003510050084689,-0.1084630752693276,0.0024639753443558,-0.1081120702608587,-0.1056480949165029
g0_R5_R6_to_R4,42,-0.0159992762337646,-0.0120636775876949,-0.1415395201688486,0.003935598646069701,-0.12947584258115372,-0.125540243935084
g0_R5_R6_to_R7,42,-0.0039868584290151,-0.0045080467415381,-0.1915756126449741,-0.0005211883125230002,-0.187067565903436,-0.187588754215959
g0_R5_R7_to_R2,42,-0.0208780965882615,-0.0180754275305891,-0.1668009890412389,0.0028026690576724023,-0.1487255615106498,-0.1459228924529774
g0_R5_R7_to_R3,42,-0.0013447773476947,0.0012446741372927,-0.1693590366858176,0.0025894514849874,-0.1706037108231103,-0.1680142593381229
g0_R5_R7_to_R4,42,-0.0065659702413828,-0.0053548774818701,-0.2118939322798881,0.0012110927595126997,-0.20653905479801798,-0.20532796203850529
g0_R5_R7_to_R6,42,-0.0098584710171717,-0.0075130086669035,-0.1892687700510592,0.0023454623502682003,-0.1817557613841557,-0.1794102990338875
g0_R5_to_R2,42,-0.0334118246290847,-0.0334118246290847,-0.0283927800229104,0.0,0.005019044606174302,0.005019044606174302
g0_R5_to_R3,42,0.0015151983920828,0.0015151983920828,-0.0053335117982447,0.0,-0.0068487101903275,-0.0068487101903275
g0_R5_to_R4,42,-0.0164131866908263,-0.0164131866908263,-0.0114350222407956,0.0,0.004978164450030699,0.004978164450030699
g0_R5_to_R6,42,0.0004855066830821,0.0004855066830821,0.0016385487475069,0.0,0.0011530420644248,0.0011530420644248
g0_R5_to_R7,42,-0.0011873242768655,-0.0011873242768655,0.0006692802153619,0.0,0.0018566044922273999,0.0018566044922273999
g0_R6_R7_to_R2,42,-0.1494687272409286,-0.137201437432371,-0.1758832328031087,0.012267289808557597,-0.03868179537073768,-0.026414505562180085
g0_R6_R7_to_R3,42,-0.1394454721355027,-0.1298691670984494,-0.22907259454839,0.009576305037053312,-0.0992034274499406,-0.08962712241288728
g0_R6_R7_to_R4,42,-0.1146949536588036,-0.111543021873516,-0.1430164896042612,0.0031519317852875955,-0.03147346773074519,-0.028321535945457596
g0_R6_R7_to_R5,42,-0.0608292310146769,-0.0624810555798227,-0.1133988997842464,-0.0016518245651457944,-0.050917844204423704,-0.0525696687695695
g0_R6_to_R2,42,-0.0891181576228752,-0.0891181576228752,-0.0746970455049272,0.0,0.014421112117947998,0.014421112117947998
g0_R6_to_R3,42,-0.1438779185920734,-0.1438779185920734,-0.1256166785843284,0.0,0.01826124000774501,0.01826124000774501
g0_R6_to_R4,42,-0.0769691561358892,-0.0769691561358892,-0.0680412606635189,0.0,0.0089278954723703,0.0089278954723703
g0_R6_to_R5,42,-0.0129849088555962,-0.0129849088555962,-0.0146028816608949,0.0,-0.0016179728052986998,-0.0016179728052986998
g0_R6_to_R7,42,0.0049260039397747,0.0049260039397747,0.0023047584411191,0.0,-0.0026212454986556,-0.0026212454986556
g0_R7_to_R2,42,-0.3691402043758562,-0.3691402043758562,-0.3531337243205793,0.0,0.016006480055276884,0.016006480055276884
g0_R7_to_R3,42,-0.2825972342909825,-0.2825972342909825,-0.2657809327355812,0.0,0.016816301555401314,0.016816301555401314
g0_R7_to_R4,42,-0.2682100893114686,-0.2682100893114686,-0.2638125415834005,0.0,0.0043975477280681075,0.0043975477280681075
g0_R7_to_R5,42,-0.2557301362820268,-0.2557301362820268,-0.2567553528420411,0.0,-0.0010252165600143082,-0.0010252165600143082
g0_R7_to_R6,42,-0.0002889251320936,-0.0002889251320936,-0.0059652711940382,0.0,-0.0056763460619446,-0.0056763460619446
