feature,mutual_info,correlation_kept,correlation_dropped,model_importance,shap_importance,mi_norm,model_norm,shap_norm,joint_score,selected
burst_packet_ratio,0.20051614463743617,True,False,0.01111260379279838,0.004069481365183579,0.2377142758964181,0.16632051361369443,0.10653810846899828,0.17019096599303693,True
subwin_byte_max,0.20645048745058814,True,False,0.010645051544784314,0.0030401627204257255,0.24474950992857175,0.15932273600181446,0.07959077744972291,0.1612210077933697,True
interarrival_p50,0.22860957107063573,True,False,0.008357488824444285,0.0019675963817669577,0.2710193672849073,0.12508516093258903,0.051511231514004066,0.14920525324383346,True
burst_size_mean,0.18435013711814463,True,False,0.009598201475438401,0.0030116154229217016,0.21854928158370093,0.1436547031576147,0.07884341561044754,0.1470158001172544,True
burst_size_std,0.1748344736239842,True,False,0.00928350178706246,0.002599071339604719,0.20726834926137652,0.13894464467081108,0.06804310413275007,0.1380853660216459,True
subwin_packet_max,0.13781190298105805,True,False,0.010626881616303024,0.0032954468188156616,0.16337765114267716,0.1590507896700924,0.08627405782971564,0.13623416621416173,True
long_gap_ratio,0.12121046784224898,True,False,0.010858420793675671,0.003703795539177872,0.14369645220481087,0.16251619846359833,0.09696453564719135,0.1343923954385335,True
subtype_0_ratio,0.09010306931670264,True,False,0.011496997831369355,0.0046949183631597785,0.10681826103026854,0.1720736759793498,0.1229119086541988,0.1339346152212724,True
interarrival_p95,0.16460145910609425,True,False,0.008742910171196692,0.002759931330356669,0.19513698876291824,0.13085369885086567,0.07225438257468494,0.13274835672948962,True
active_subwin_count,0.07608285365749756,True,False,0.01082257817997457,0.005479601201355213,0.09019712850567417,0.1619797479582822,0.14345472918279345,0.13187720188224994,True
interarrival_max,0.11559888583586808,True,False,0.010542809087406724,0.002952705296642649,0.13704385495039928,0.15779248995496203,0.0773011617308412,0.12404583554540083,True
interarrival_cv,0.09456458603216022,True,False,0.010169325037414816,0.0031744983318401127,0.11210744219486968,0.15220261559433443,0.08310765359579897,0.11580590379500104,True
interarrival_mean,0.10899924257618698,True,False,0.008471986980392867,0.0022338815062202515,0.12921989932085906,0.12679883600463024,0.05848251628640797,0.1048337505372991,True
interarrival_p25,0.13273286093568082,True,False,0.00741784155734366,0.0014596114276885731,0.15735638635002214,0.11102161480119897,0.03821229946795927,0.10219676687306013,True
subwin_packet_cv,0.08960234897284725,True,False,0.008308950675713543,0.002472971647524405,0.10622465110334015,0.12435869844213414,0.06474184250572854,0.09844173068373425,True
burst_size_min,0.08259277276117771,True,False,0.006709961790749139,0.0029814629312887838,0.09791471508042955,0.10042689473810791,0.07805403014927258,0.09213187998927001,True
unique_sa_count,0.048524643473221385,True,False,0.009088363399976918,0.0027894252684864643,0.05752654235012206,0.13602404051979758,0.07302652725300524,0.08885903670764161,True
interarrival_std,0.0541907813425655,True,False,0.009028351507965032,0.0023661553943072817,0.06424381622936928,0.13512585240039257,0.06194541697866767,0.08710502853614317,True
interarrival_min,0.029611041863921272,True,False,0.006206399341566186,0.0009508762665489833,0.035104242543402664,0.09289015836683952,0.024893727169487047,0.050962709359909736,True
subwin_byte_min,0.05758858276137602,True,False,0.0016039717639443004,0.0003595730546190107,0.06827195025006284,0.02400638163433527,0.009413541839329955,0.03389729124124269,True
subwin_packet_min,0.03316058797597243,True,False,0.0017184128397006915,0.00044567904115460244,0.039312271703911744,0.025719202396526194,0.011667777234494405,0.025566417111644115,True
data_ratio,0.023759360662455986,True,False,0.000913134368651159,0.00020849034558199345,0.028167004835694915,0.013666731940069704,0.005458230437517027,0.01576398907109388,True
subtype_5_ratio,0.0214932429117467,True,False,0.0009225587017477155,0.00020352028768638898,0.025480495272188652,0.013807784383791455,0.005328115437677182,0.014872131697885762,True
ctrl_ratio,0.024835030964649008,True,False,0.0,0.0,0.029442224780958894,0.0,0.0,0.009814074926986298,True
subtype_12_ratio,0.020905867737167405,True,False,0.0,0.0,0.02478415501212073,0.0,0.0,0.008261385004040243,True
subtype_2_ratio,0.01315931377739954,True,False,0.0,0.0,0.015600523097750934,0.0,0.0,0.005200174365916978,True
subtype_1_ratio,0.00977876283877821,True,False,0.0,0.0,0.011592839726627044,0.0,0.0,0.0038642799088756813,False
subtype_14_ratio,0.007997797663775952,True,False,0.0,0.0,0.009481484315630584,0.0,0.0,0.0031604947718768613,False
subtype_13_ratio,0.005929856088147112,True,False,0.0,0.0,0.007029914966261944,0.0,0.0,0.002343304988753981,False
subtype_11_ratio,0.005063904365901983,True,False,0.0,0.0,0.006003318893477065,0.0,0.0,0.002001106297825688,False
up_len_std,0.0042133846891596605,True,False,0.0,0.0,0.004995017694299161,0.0,0.0,0.0016650058980997202,False
rssi_missing_ratio,5.0164251526041426e-05,True,False,0.0,0.0,5.947031721041969e-05,0.0,0.0,1.98234390701399e-05,False
bssid_known,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_15_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_10_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_9_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_3_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_7_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_6_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
up_len_mean,0.498493429609022,False,True,,,0.5909698935858508,0.0,0.0,-1.0,False
len_p95,0.5732479809971787,False,True,,,0.6795923039425258,0.0,0.0,-1.0,False
len_range,0.8434376164042334,False,True,,,0.9999053323604576,0.0,0.0,-1.0,False
up_ia_std,0.5046410920237419,False,True,,,0.5982580205444714,0.0,0.0,-1.0,False
subtype_4_ratio,0.4221650591214625,False,True,,,0.5004817019561371,0.0,0.0,-1.0,False
qos_data_ratio,0.3970029372120507,False,True,,,0.4706517069673121,0.0,0.0,-1.0,False
subtype_8_ratio,0.39130523100168,False,True,,,0.4638970084440695,0.0,0.0,-1.0,False
