replicate,r2_M0,r2_M1,r2_M0_sub,r2_M2,dr2_M1_vs_M0,dr2_M2_vs_M0sub,beta_M1_d_recall_Camera,beta_M1_d_recall_Light_T1,beta_M1_d_recall_Light_XM,beta_M1_d_recall_Sensor,beta_M1_d_recall_Socket,beta_M1_d_recall_l2,beta_M1_d_recall_max,beta_M1_cpd_y,beta_M2_d_recall_Camera,beta_M2_d_recall_Light_T1,beta_M2_d_recall_Light_XM,beta_M2_d_recall_Sensor,beta_M2_d_recall_Socket,beta_M2_d_recall_l2,beta_M2_d_recall_max,beta_M2_cpd_dir_strict
1574,0.22601830858411232,0.23178678730018432,0.44676642341016337,0.6628416616975669,0.005768478716072001,0.2160752382874035,-0.20912851254655196,0.10476036228850205,-0.27439500180692866,0.15211873923258656,0.08120478306931522,1.4206310693642532,-0.6515745231717076,-0.25664260981049936,-0.20690746605537713,-0.8643011876817945,-0.6516234650789087,-0.2894411774856481,5.551115123125783e-17,0.2360182022927197,1.056012348833125,-0.5212304147966138
1575,0.17583487422923572,0.17637132662524257,0.879270599179651,0.8844558153600413,0.000536452396006859,0.005185216180390251,-0.354302564856945,-0.31117302454904616,-0.2225919577412011,-0.008708876988527861,0.24948193971085736,1.4223020361421137,-0.433870234479414,-0.080927835781476,-0.2183723872632891,-1.2123822868120828,-1.2340191775339853,-0.18073067794145917,-2.220446049250313e-16,0.3680261028402241,1.9343891032932683,-0.2039663423974532
1576,0.1358602029891689,0.15200197278244787,0.609528556541757,0.7370616951399851,0.01614176979327897,0.12753313859822812,-0.20882499906259583,0.025167219768392757,-0.14018560270247898,0.133290330824285,-0.14473751494471931,1.083824896841815,-0.4729420468241097,-0.34659607113416147,-0.5740333013574381,-1.0394415726187962,-1.2817146109312767,0.06603192967912813,3.094746681142624e-15,0.6718733372783943,0.706133202895624,-0.7500551179695094
1577,0.1345031041306648,0.1571984194866729,0.6596590790911196,0.7398111747482436,0.022695315356008106,0.080152095657124,-0.2162851836341041,0.03625000790545975,-0.055313974845726484,0.17226940181185246,-0.17820434968368942,1.4034201455038549,-0.8123555475956805,-0.4231791075191398,-0.3410171158240546,-0.8967803410906732,-0.5431050011376071,-0.4397589084103862,-1.6653345369377348e-16,0.07133371340662839,1.0928050336049064,-0.4110460150158315
1578,0.3075593683814568,0.33326657486846745,0.9150118617011562,0.9687963101766356,0.025707206487010636,0.05378444847547936,-0.32158066311666356,-0.11089189947710343,-0.4520193747559293,0.19482612207757574,0.2787771129375298,0.8580721549312419,-0.5646434871686924,0.7253063996104488,0.5602476825774179,-1.433086057108219,-1.3538154954588504,0.03677459150309703,-6.938893903907228e-17,-0.3348613400503946,1.757005150890401,-0.2728728487568476
1579,0.12682248848501787,0.20289904087706911,0.7671237364498443,0.7802571008567112,0.07607655239205124,0.013133364406866854,-0.18277140866203853,-0.0004901400649195663,0.023015065290577633,0.17468913875180442,-0.19517571151407725,1.1180752399828873,-0.4358199239746006,-0.6169441593741228,-0.5006306978511242,-0.932494915251197,-0.8554471906246175,-0.2406212482118042,0.0,0.6658464553235369,0.6512818360607529,-0.4754394119509908
1580,0.10259357347657361,0.1258590678931477,0.6202020295952163,0.72669976234511,0.023265494416574106,0.10649773274989371,-0.263160963941625,-0.00466980859226733,-0.06780224754303721,0.08718980374569912,-0.0995967229901577,1.0766782589895825,-0.3804756639345084,-0.3874502354310403,-0.5802169662750949,-1.010540489856151,-1.3255144918960446,0.08698888760394402,0.0,0.7762294708205022,0.6894467189228852,-0.7441465374604083
1581,0.12682248848501787,0.20289904087706911,0.7671237364498443,0.7802571008567112,0.07607655239205124,0.013133364406866854,-0.18277140866203767,-0.0004901400649210685,0.023015065290578077,0.17468913875180442,-0.19517571151407734,1.118075239982889,-0.4358199239746007,-0.6169441593741225,-0.500630697851124,-0.9324949152511965,-0.8554471906246167,-0.24062124821180494,-3.219646771412954e-15,0.6658464553235385,0.6512818360607503,-0.47543941195099193
1582,0.16519634648006576,0.18245874154277852,0.704419219119553,0.7071084401044518,0.017262395062712765,0.002689220984898877,-0.29014808462848307,0.11140642415205713,-0.06050416800887934,0.23426182129240788,-0.26115237437833416,1.6329176165166956,-1.1568491754313506,-0.38439618331719977,2.472929678997292,0.5541464738423649,-2.669223451972436,1.0436728495344785,3.9968028886505635e-15,0.47583649996215316,-1.1143678796331296,-0.07565176313255581
1583,0.18447350473483126,0.22889870890199726,0.6338936897101689,0.7426685207196366,0.044425204167166,0.10877483100946772,-0.2049944501884151,0.17286385225077133,-0.03209645985300766,0.15103807926129437,0.07301390684038045,1.5483151402310915,-0.6914357664802107,-0.6113076442498413,-0.26656244042247745,-0.8399734598559736,-0.4425835323469557,-0.4456723181330412,2.7755575615628914e-16,0.07107016600002121,1.1750936266814729,-0.45991356065542643
