replicate,r2_M0,r2_M1,r2_M0_sub,r2_M2,dr2_M1_vs_M0,dr2_M2_vs_M0sub,beta_M1_d_recall_Camera,beta_M1_d_recall_Light_T1,beta_M1_d_recall_Light_XM,beta_M1_d_recall_Sensor,beta_M1_d_recall_Socket,beta_M1_d_recall_l2,beta_M1_d_recall_max,beta_M1_cpd_y,beta_M2_d_recall_Camera,beta_M2_d_recall_Light_T1,beta_M2_d_recall_Light_XM,beta_M2_d_recall_Sensor,beta_M2_d_recall_Socket,beta_M2_d_recall_l2,beta_M2_d_recall_max,beta_M2_cpd_dir_lenient
2500,0.1342528733442464,0.17718916565599563,0.07901115143770321,0.2608154024167305,0.042936292311749225,0.1818042509790273,-0.23115528489714884,0.08906915221411278,-0.09208054725660667,0.14484752448084728,-0.026336964433868362,1.2890369901740817,-0.5271499368332819,-0.5301506880996292,-0.1981951501364343,-0.2682530526004296,-0.3186272059889852,-0.15226528114499402,-0.05126006193374903,0.10394346722572484,0.2841634213826285,-0.49894495121551785
2501,0.14938919797984607,0.14949703860732544,0.19146222037219407,0.28096834401662196,0.00010784062747937195,0.08950612364442789,-0.3175442688441847,0.07958837499979982,-0.2196016529524772,0.12538865042144337,-0.1842184431206858,1.2979813792220363,-0.8568658669041285,-0.033787733646654494,-0.3976220002677411,-0.7343282753600671,-0.01530816232449611,-0.6590729576989185,-0.16865077956529914,-0.08866521989732773,1.2308595099418855,-0.34095690513122534
2502,0.24388757140248996,0.24850851550202324,0.20950452133595654,0.2476521144685192,0.004620944099533286,0.03814759313256266,-0.3282785061376491,0.10296232645295428,-0.3754914595764459,0.11125548087934037,-0.0013586708120594173,1.2637184208954981,-0.7820673090446921,0.27159565764931226,-0.3650207283471615,-0.6674533856990643,0.051315647556176985,-0.6076623158052349,0.01270723748670391,0.13943476018544726,1.1620777248297949,-0.2225914221464823
2503,0.20373522443920733,0.25519028173645497,0.17326280783577397,0.3381890560136609,0.05145505729724764,0.16492624817788692,-0.07883604288040469,-0.0064569162117744106,-0.35169065589621823,0.3286433363737491,-0.04344512476717785,1.7809366946667113,-0.925153384570889,-0.6658808937888256,0.08426431293197839,-0.44775775305852883,-0.7025743612547103,0.13731766022764086,-0.10778280661686906,0.19772141141292415,0.032828720318157485,-0.47030769693664354
2504,0.16217053755924382,0.16444337770152306,0.18208806157538981,0.2511677321019027,0.002272840142279242,0.06907967052651287,-0.20566860394502637,-0.012430190005787628,-0.28080385084526455,0.12850434487464463,0.04198950259023304,0.7217026463521592,-0.315742428807058,0.1716524363869985,-0.3743671589276849,-0.17985916620204728,-0.11934465886485879,-0.1788268039992238,-0.10071769279042384,-0.585246197401502,1.097508007382852,-0.3435217052228247
2505,0.197012101149729,0.19740333078422279,0.11509506443870121,0.16056055302651606,0.0003912296344937838,0.04546548858781485,-0.2283850138681639,0.08618000527261827,-0.3350770998857744,0.11752099081973785,-0.0659459982860523,1.1396265304823916,-0.6605228477817595,0.07376232768151245,-0.20858941365665734,-0.37092025495301256,-0.21818304943397018,-0.24141937403679276,-0.1762422833139166,-0.20628130511726478,0.8653917991053173,-0.24200995539167344
2506,0.21459491677386544,0.22701891605376,0.12912388940233854,0.17442595421281903,0.012423999279894571,0.04530206481048049,-0.21888265363817483,0.17022313807447248,-0.17584071073265842,0.16583728454250243,-0.1197168515305469,1.637984743382857,-0.9673570776193035,-0.3908615714191919,-0.24651451571869504,-0.17856779176298748,-0.21218907252618752,-0.13115921020969884,-0.3008958461835318,0.3724587902900204,0.13753101631389414,-0.22331327627613948
2507,0.1345031041306648,0.1571984194866729,0.15492065897372942,0.2334439811290303,0.022695315356008106,0.07852332215530089,-0.2162851836341032,0.03625000790545965,-0.05531397484572556,0.17226940181185274,-0.17820434968368867,1.4034201455038529,-0.8123555475956792,-0.4231791075191406,-0.30453917742406045,-0.2747123188155193,-0.052209246197956284,-0.24668548077325486,-0.31219318379534244,0.23488112985813744,0.3522024100077098,-0.2896649891524213
2508,0.12025207643912594,0.16635539150492895,0.10420437109149816,0.2777844725344204,0.04610331506580301,0.17358010144292224,-0.2465522258251701,0.05794105319906509,0.01217217218041859,0.01692141975222474,0.014963468100535591,0.8602392240834481,-0.04326446944026374,-0.5089657965512339,-0.28509624202102457,-0.1610137626968114,-0.2243770588731931,-0.18226533428993363,-0.03088667277301868,-0.055048293071833676,0.494452358045064,-0.48613576096134614
2509,0.23091925683229342,0.23656229227504766,0.28199061824947536,0.31256790413914715,0.005643035442754241,0.03057728588967179,-0.28092654268860207,-0.1751628452813269,-0.29141641593822665,0.09796575097264706,0.24496841476051315,1.0381758053588075,-0.45776298600687304,0.2807309197002357,-0.3223261520184189,-0.6176745441624257,-0.006593879685896391,-0.3888562493008435,0.15149728066147655,-0.010697938406888464,1.0648020483405578,-0.20543521896807027
2510,0.14799470284587535,0.14874180179619712,0.13938167587034045,0.2387045268357384,0.0007470989503217673,0.09932285096539795,-0.1903284637395789,0.023907739660001464,-0.24215855328732835,0.12354863745758393,-0.06594968513594278,0.8474548626993703,-0.33194430868170943,-0.08694398767305506,-0.35242903275304593,-0.128507770712838,-0.17159897110392075,-0.13389761209880424,-0.19014491666774075,-0.34269039023913783,0.7603609116517588,-0.387161914766046
2511,0.17769909407174056,0.17785140441302594,0.1341488193126903,0.18889142952510296,0.00015231034128537768,0.05474261021241267,-0.2714464216374206,0.016819944545474808,-0.26229979357655736,0.12513577220802274,0.034820942498004215,1.079436147406131,-0.5206300573883378,0.04185956656907262,-0.3386748634218424,-0.21096375600346923,-0.1055326967826977,-0.19616539386943843,-0.08519206452471655,-0.11319287568430214,0.7192901316599157,-0.26879334225459217
2512,0.16983532546713298,0.1825332253422175,0.15322783346585644,0.24582098930764684,0.012697899875084517,0.0925931558417904,-0.15895352386184072,-0.014637582186065132,-0.2320789906714169,0.16413541232395257,-0.20190431033626205,1.205917984514307,-0.631445813461741,-0.3326253779692989,-0.12444189986653265,-0.43605040674940954,-0.3778619959084848,-0.10722981501984047,-0.323185542317241,-0.18711888266364493,0.5625848692610531,-0.3423273342662216
2513,0.10255808340532135,0.14056412267876817,0.18861740492478773,0.3019049003758052,0.03800603927344681,0.11328749545101746,-0.25601406515409,-0.06707587147668918,-0.010958966549825942,0.12191474925796278,-0.11484402076371952,1.50746439457006,-0.7317331105480249,-0.5126903265052614,-0.28148966202140635,-0.5003967845313695,-0.05684878536941296,-0.42029942512326135,-0.1829330293982488,0.19724320683797458,0.6363450324022143,-0.3543115864952191
2514,0.09662364080901542,0.15518038680776758,0.11272904383980964,0.24948217446426357,0.05855674599875216,0.13675313062445393,-0.2925628923120266,-0.005764651510402952,0.048512296192381926,0.07721042398395367,-0.07263373988352935,1.485594389778052,-0.6173946572906752,-0.6100815389399337,-0.29750271258529426,-0.45614561994105374,-0.09117900414602717,-0.39406358071839587,-0.13843934948475434,0.13250807132918327,0.6195642681331013,-0.4010712054587062
2515,0.1135419298817093,0.15929849497040394,0.10237245021079366,0.20946008253565218,0.045756565088694634,0.10708763232485852,-0.22762776079574976,0.061311295305778196,0.01594225846432909,0.13757664759467203,-0.08890480691061153,1.3303376671444231,-0.593175887785655,-0.5503985855447783,-0.2459006473644605,-0.2236608510352805,-0.09773333931854937,-0.1844650484754089,-0.19096115983217868,0.16540370761597561,0.36732506503489465,-0.3446346696854195
2516,0.1809835928449398,0.2020192093219485,0.11321137579349816,0.2479238944475457,0.02103561647700869,0.13471251865404754,-0.21648346994360101,0.10863777800924457,-0.14632216448368515,0.12843233213984795,0.03656835495818839,1.2551786357955623,-0.4652533672057099,-0.41717467815411746,-0.3038808322335757,-0.031035379266685162,-0.23706278543481885,-0.022245225347321776,-0.014326026744091946,0.10605605518293537,0.26039409747976344,-0.4089083746936373
2517,0.13659232752970796,0.1591841482723927,0.1227752916965511,0.29606286352623534,0.02259182074268473,0.17328757182968424,-0.2994232744960532,-0.03656011748468335,-0.09520940709316322,-0.03404347374294876,0.11719170536349205,1.2015958086429657,-0.21681967445507927,-0.44077149377717945,-0.39778888079035807,-0.47831497153158065,-0.2993352155430879,-0.45656423291101544,0.05737154874020994,0.06514535742120595,0.7048723078523282,-0.5239315672721505
2518,0.25097797883084283,0.26215421273893824,0.12303336014941002,0.20258154076181367,0.011176233908095412,0.07954818061240365,-0.21929482973093964,0.16566792967460556,-0.23743672262468624,0.18087675292026711,0.07910172054916251,1.6396384702285387,-0.8379701384664915,-0.3551778438180476,-0.23208188022736392,-0.11215360607633043,-0.23717666749412283,-0.08122147143359719,0.026233490915103533,0.3550299273491555,0.17579675815362988,-0.3044528346791837
2519,0.17040041035861808,0.2282839897867347,0.10790815685082022,0.24503473653746954,0.057883579428116616,0.13712657968664932,-0.21296150352877963,0.11955749483914521,0.024368840443037193,0.08150963506940288,0.13104268332603453,1.5723673652966423,-0.5900417382427137,-0.6886125952517522,-0.10983486473283355,-0.2456177859614894,-0.1420325905874889,-0.24546611459027015,0.16710032128786337,0.24209056151009478,0.4121483614862623,-0.4138296362259665
2520,0.23986175272496868,0.27917389775606827,0.16303647316584202,0.2911441176165077,0.03931214503109959,0.1281076444506657,-0.11835031563131504,0.1757709020079452,-0.2106703081866793,0.2016351293901545,0.0025851292320403507,1.7288753931131493,-0.8423616118913122,-0.6444582690955335,-0.3003865099153178,-0.05010808267211836,-0.33885236123304474,-0.020992525006537505,-0.17776950293413996,0.40451270887772295,0.04969533311092361,-0.38564525480018774
2521,0.18115095290056282,0.19601038440790952,0.148861420790813,0.2190260534694457,0.014859431507346699,0.07016463267863271,-0.23824228194996555,0.13549737079904137,-0.12861637690728492,0.14471930942792638,-0.07416462729919321,1.4847952488742957,-0.7709487603758675,-0.39470635935811493,-0.3565011926980141,-0.10329947503374343,-0.1408530130106922,-0.22856111097641207,-0.30041857156843754,0.19281437860673173,0.4117348257518368,-0.27764159621516027
2522,0.27858718263788607,0.32536811701142665,0.17891796859036557,0.2953826572197409,0.046780934373540584,0.11646468862937531,-0.033322664625839105,0.23854339230248656,-0.25916346339884866,0.35486217152087274,0.034657294551189544,2.0744352411180333,-1.2422439459206362,-0.7481821206099055,0.05131283928527437,-0.24239756451149683,-0.5640140250873169,0.17940239888019754,-0.05303350394912441,0.43049295823941014,-0.11310278643451252,-0.3772021677077563
2523,0.21459491677386555,0.22701891605376012,0.12912388940233865,0.17442595421281926,0.012423999279894571,0.0453020648104806,-0.21888265363817427,0.1702231380744722,-0.1758407107326584,0.16583728454250274,-0.11971685153054662,1.6379847433828558,-0.9673570776193023,-0.3908615714191906,-0.24651451571869476,-0.1785677917629872,-0.21218907252618718,-0.13115921020969923,-0.30089584618353227,0.3724587902900205,0.13753101631389403,-0.2233132762761394
2524,0.1629539103271126,0.22565753662215793,0.14478262838549094,0.28452695977373055,0.06270362629504533,0.1397443313882396,-0.15444137059429036,-0.027591024322651182,-0.07628111080384581,0.1962710329438539,-0.22716643524666497,1.1758335792729755,-0.49947052086939253,-0.5983574489485368,-0.23288037762898983,-0.1561101903566496,-0.2094306473769901,-0.011910089358527241,-0.33930236013354353,0.3753777374079085,-0.08843850798571472,-0.4003784039718911
2525,0.3359399898241362,0.36020201116120687,0.18114640143538385,0.2658175030123747,0.02426202133707067,0.08467110157699087,-0.0738282689475045,0.3448986728377351,-0.2644061332157842,0.35949890592459155,0.06422930232651686,2.133271253976563,-1.3804048299942964,-0.6098740151530593,0.03490878625422783,-0.17803347062445277,-0.44746696244622713,0.10172028214654802,0.01917562522315552,0.4567741795552664,-0.06247618764035503,-0.3388046593152927
