variant,cpd_dir_variant,cpd_dir_role,model,term,std_beta,boot_ci_lo,boot_ci_hi,n_boot_finite,design_rank_deficient,n_boot_degenerate_replicates_this_model,B
sens_ref_random,strict,parallel_reported,M1,d_recall_Light_XM,-0.4387213988579019,-1.4138752772832035,0.22052840209615834,10000,True,10000,10000
sens_ref_random,strict,parallel_reported,M1,d_recall_Sensor,-0.22247788552478498,-0.9352035883513022,0.35796801802417466,10000,True,10000,10000
sens_ref_random,strict,parallel_reported,M1,d_recall_Socket,-4.440892098500626e-16,-4.440892098500626e-15,4.551914400963142e-15,10000,True,10000,10000
sens_ref_random,strict,parallel_reported,M1,d_recall_l2,2.6250750738417743,0.8275840791418646,6.086412913917286,10000,True,10000,10000
sens_ref_random,strict,parallel_reported,M1,d_recall_max,-1.0493397924545458,-2.408694188678809,-0.10068362152078376,10000,True,10000,10000
sens_ref_random,strict,parallel_reported,M1,cpd_y,-0.4074758244198729,-1.0011998665834776,0.23700710804244154,10000,True,10000,10000
sens_ref_random,strict,parallel_reported,M0_sub,d_recall_Camera,0.14864347335903189,,,0,True,9815,10000
sens_ref_random,strict,parallel_reported,M0_sub,d_recall_Light_T1,-0.22025885439231338,,,0,True,9815,10000
sens_ref_random,strict,parallel_reported,M0_sub,d_recall_Light_XM,0.1389986614045166,,,0,True,9815,10000
sens_ref_random,strict,parallel_reported,M0_sub,d_recall_Sensor,-0.8595555407091386,,,0,True,9815,10000
sens_ref_random,strict,parallel_reported,M0_sub,d_recall_Socket,0.0,,,0,True,9815,10000
sens_ref_random,strict,parallel_reported,M0_sub,d_recall_l2,0.2194801846071862,,,0,True,9815,10000
sens_ref_random,strict,parallel_reported,M0_sub,d_recall_max,-0.2391971783641089,,,0,True,9815,10000
sens_ref_random,strict,parallel_reported,M2,d_recall_Camera,-0.13763695246249485,-6.041016607996247,2.2159650624566503,9815,True,9815,10000
sens_ref_random,strict,parallel_reported,M2,d_recall_Light_T1,0.7172062804210997,-8.356411531571698,8.383581781423478,9815,True,9815,10000
sens_ref_random,strict,parallel_reported,M2,d_recall_Light_XM,0.25661316524162014,-4.962598822600636,4.725303103386365,9815,True,9815,10000
sens_ref_random,strict,parallel_reported,M2,d_recall_Sensor,-0.627283408960555,-9.68690889149804,10.539746063431847,9815,True,9815,10000
sens_ref_random,strict,parallel_reported,M2,d_recall_Socket,1.7208456881689926e-15,-2.6828539390066905e-14,2.864375403532904e-14,9815,True,9815,10000
sens_ref_random,strict,parallel_reported,M2,d_recall_l2,0.24240807768661699,-17.53937939951579,16.065175494158797,9815,True,9815,10000
sens_ref_random,strict,parallel_reported,M2,d_recall_max,-0.8058414955708895,-8.631820994656994,8.064417809717074,9815,True,9815,10000
sens_ref_random,strict,parallel_reported,M2,cpd_dir_strict,-0.7717262021146862,-10.553310060320328,5.798843440012601,9815,True,9815,10000
sens_ref_random,lenient,primary,M0,d_recall_Camera,-0.5032089200507472,,,0,True,10000,10000
