variant,cpd_dir_variant,cpd_dir_role,stat,boot_mean,boot_sd,ci_lo,ci_hi,n_finite,B,seed,n_degenerate_replicates_any_model,n_degenerate_replicates_by_model,md5
sens_dv_a_arm,lenient,primary,beta_M1_d_recall_Socket,-0.05097410910271508,0.11607798051908413,-0.3065777010529056,0.1485389334601805,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M1_d_recall_l2,2.0187672558533123,0.5829878250604206,1.0276522551970055,3.3064255049614366,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M1_d_recall_max,-0.45770582535560317,0.37035553403283916,-1.172609959916354,0.23631081186846417,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M1_cpd_y,-1.5981593471514657,0.25919580004958426,-2.112382807360094,-1.1451629115567052,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M2_d_recall_Camera,0.25164976812003187,0.12555344192812865,0.012297452073645854,0.4748107392377949,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M2_d_recall_Light_T1,-0.4840707108935698,0.2333289250815475,-0.9153396859934959,0.037542827669888736,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M2_d_recall_Light_XM,-0.25150257951659316,0.13059980837327628,-0.4062890643303462,0.09819084859444865,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M2_d_recall_Sensor,-0.5443837585428164,0.1551034455928773,-0.8875457602693684,-0.32782231791101657,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M2_d_recall_Socket,0.062090393441628,0.07360961549293953,-0.12993642452456672,0.18469456823530495,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M2_d_recall_l2,-0.592014613130919,0.21799160885940647,-1.0356036830889725,-0.17959550161015184,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M2_d_recall_max,0.9501639298408098,0.27484623168781364,0.5244298414048569,1.520855328990955,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M2_cpd_dir_lenient,-0.756292017313119,0.0576338923766926,-0.8712918787303954,-0.6657441516663821,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_ref_random,strict,parallel_reported,r2_M0,0.1695568954026785,0.06983832129702205,0.06316748230405556,0.3306560355439999,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,r2_M1,0.19236399744781388,0.06000530035775925,0.10516578850814429,0.34028882333519794,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,r2_M0_sub,0.9426202319906576,0.04886562929930344,0.8541785517417894,1.0,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,r2_M2,0.972293881634579,0.0290880764599097,0.9084476846828187,1.0,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,dr2_M1_vs_M0,0.022807102045135388,0.027757486909647227,1.8452717763572934e-05,0.10220903928245184,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,dr2_M2_vs_M0sub,0.029673649643921354,0.03072675894524683,0.0,0.10232865661629564,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M1_d_recall_Camera,-0.6738573513122703,0.4496822727035974,-1.7459761624784662,-0.019483685550366496,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M1_d_recall_Light_T1,-0.3894939958382871,0.3671054470048125,-1.2707163322842994,0.1932805000467525,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M1_d_recall_Light_XM,-0.49083165306895055,0.4082643768197503,-1.4138752772832035,0.22052840209615834,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
