task,fold_e_out,lb_rf,lb_xgboost,lb_lightgbm,rho_rf,rho_xgboost,rho_lightgbm,w_rf,w_xgboost,w_lightgbm
g0_R2_R6_R7_to_R4,R4,0.7518566016731629,0.6190752769431634,0.6153869685376326,0.6148474120853578,0.7076167150781256,0.6910136551042914,0.9044154582053312,0.048235164596140925,0.04734937719852801
g0_R2_R6_R7_to_R5,R5,0.7518566016731629,0.6190752769431634,0.6153869685376326,0.6148474120853578,0.7076167150781256,0.6910136551042914,0.9981375540024782,0.0009912889956754465,0.000871157001846493
g0_R2_R6_to_R3,R3,0.2831573371181265,0.28023761118170265,0.2810810810810811,0.8775308518291037,0.8899607855846929,0.9122842930071844,0.39453413585738223,0.3343835868388443,0.2710822773037734
g0_R2_R6_to_R4,R4,0.2831573371181265,0.28023761118170265,0.2810810810810811,0.8775308518291037,0.8899607855846929,0.9122842930071844,0.39453413585738223,0.3343835868388443,0.2710822773037734
g0_R2_R6_to_R5,R5,0.2831573371181265,0.28023761118170265,0.2810810810810811,0.8775308518291037,0.8899607855846929,0.9122842930071844,0.41287102683363713,0.3205783197884657,0.26655065337789724
g0_R2_R6_to_R7,R7,0.2831573371181265,0.28023761118170265,0.2810810810810811,0.8775308518291037,0.8899607855846929,0.9122842930071844,0.41287102683363713,0.3205783197884657,0.26655065337789724
g0_R2_R7_to_R3,R3,0.28036253776435044,0.27949967093426703,0.28036253776435044,0.7506530461527817,0.856808558534134,0.8447033827677055,0.4571942822569414,0.25805900495203765,0.28474671279102104
g0_R2_R7_to_R4,R4,0.28036253776435044,0.27949967093426703,0.28036253776435044,0.7506530461527817,0.856808558534134,0.8447033827677055,0.4571942822569414,0.25805900495203765,0.28474671279102104
g0_R2_R7_to_R5,R5,0.28036253776435044,0.27949967093426703,0.28036253776435044,0.7506530461527817,0.856808558534134,0.8447033827677055,0.4602292164854535,0.2531338731015435,0.2866369104130029
g0_R2_R7_to_R6,R6,0.28036253776435044,0.27949967093426703,0.28036253776435044,0.7506530461527817,0.856808558534134,0.8447033827677055,0.4602292164854535,0.2531338731015435,0.2866369104130029
g0_R2_to_R3,R3,0.9563847402573937,0.9559758572940795,0.9592682150694294,0.7320889162279867,0.7839458423753869,0.772530715387116,0.3704632428619179,0.2963231342082281,0.33321362292985396
g0_R2_to_R4,R4,0.9563847402573937,0.9559758572940795,0.9592682150694294,0.7320889162279867,0.7839458423753869,0.772530715387116,0.3704632428619179,0.2963231342082281,0.33321362292985396
g0_R2_to_R5,R5,0.9563847402573937,0.9559758572940795,0.9592682150694294,0.7320889162279867,0.7839458423753869,0.772530715387116,0.36090109377816937,0.28515524512059015,0.35394366110124054
g0_R2_to_R6,R6,0.9563847402573937,0.9559758572940795,0.9592682150694294,0.7320889162279867,0.7839458423753869,0.772530715387116,0.36090109377816937,0.28515524512059015,0.35394366110124054
g0_R2_to_R7,R7,0.9563847402573937,0.9559758572940795,0.9592682150694294,0.7320889162279867,0.7839458423753869,0.772530715387116,0.36090109377816937,0.28515524512059015,0.35394366110124054
g0_R3_R4_R5_to_R2,R2,0.5201454527612681,0.49675290859330523,0.504637068815153,0.7454670208075308,0.8212577207862948,0.815984322337,0.613618979050807,0.15985427510986105,0.22652674583933188
g0_R3_R4_R5_to_R6,R6,0.5201454527612681,0.49675290859330523,0.504637068815153,0.7454670208075308,0.8212577207862948,0.815984322337,0.6447618285749707,0.14057882419614193,0.21465934722888727
g0_R3_R4_R5_to_R7,R7,0.5201454527612681,0.49675290859330523,0.504637068815153,0.7454670208075308,0.8212577207862948,0.815984322337,0.6447618285749707,0.14057882419614193,0.21465934722888727
g0_R3_R4_R6_to_R2,R2,0.6285415878179144,0.5612324838366451,0.554887579368074,0.7230121321676296,0.8108751208309676,0.8057345621760208,0.8976954020744452,0.05372182014237539,0.04858277778317937
g0_R3_R4_R6_to_R5,R5,0.6285415878179144,0.5612324838366451,0.554887579368074,0.7230121321676296,0.8108751208309676,0.8057345621760208,0.9604022986012354,0.022653874232268955,0.016943827166495593
g0_R3_R4_R6_to_R7,R7,0.6285415878179144,0.5612324838366451,0.554887579368074,0.7230121321676296,0.8108751208309676,0.8057345621760208,0.9604022986012354,0.022653874232268955,0.016943827166495593
g0_R3_R4_R7_to_R2,R2,0.652246042240362,0.5660780049230001,0.564272399635009,0.6927159994693649,0.7986815363690372,0.7831262831686895,0.9178615147860095,0.04113056031998007,0.041007924894010395
g0_R3_R4_R7_to_R5,R5,0.652246042240362,0.5660780049230001,0.564272399635009,0.6927159994693649,0.7986815363690372,0.7831262831686895,0.9828090905029735,0.008663585540718593,0.008527323956307849
g0_R3_R4_R7_to_R6,R6,0.652246042240362,0.5660780049230001,0.564272399635009,0.6927159994693649,0.7986815363690372,0.7831262831686895,0.9828090905029735,0.008663585540718593,0.008527323956307849
g0_R3_R4_to_R2,R2,0.4894340537802898,0.4356311810932153,0.4422526059827773,0.7746465480494089,0.8396502177279437,0.8191804425861586,0.83395603752056,0.07199828978967024,0.09404567268976967
g0_R3_R4_to_R5,R5,0.4894340537802898,0.4356311810932153,0.4422526059827773,0.7746465480494089,0.8396502177279437,0.8191804425861586,0.8895807824302518,0.04296106272926322,0.06745815484048481
g0_R3_R4_to_R6,R6,0.4894340537802898,0.4356311810932153,0.4422526059827773,0.7746465480494089,0.8396502177279437,0.8191804425861586,0.8895807824302518,0.04296106272926322,0.06745815484048481
g0_R3_R4_to_R7,R7,0.4894340537802898,0.4356311810932153,0.4422526059827773,0.7746465480494089,0.8396502177279437,0.8191804425861586,0.8895807824302518,0.04296106272926322,0.06745815484048481
g0_R3_R5_R6_to_R2,R2,0.31761512989288637,0.3305930269444515,0.31214648089955704,0.8403865881410026,0.875607891380558,0.8847287088433515,0.32932628595884794,0.4747170155922117,0.19595669844894037
g0_R3_R5_R6_to_R4,R4,0.31761512989288637,0.3305930269444515,0.31214648089955704,0.8403865881410026,0.875607891380558,0.8847287088433515,0.37627038863080114,0.3801439404848108,0.243585670884388
g0_R3_R5_R6_to_R7,R7,0.31761512989288637,0.3305930269444515,0.31214648089955704,0.8403865881410026,0.875607891380558,0.8847287088433515,0.32888105847279403,0.49042631362097594,0.18069262790623003
g0_R3_R5_R7_to_R2,R2,0.3062182529834999,0.3644423685181512,0.3339696201840622,0.8241104878466239,0.8577200535360898,0.8687788273521679,0.08106600073367981,0.7429765529400689,0.17595744632625127
g0_R3_R5_R7_to_R4,R4,0.3062182529834999,0.3644423685181512,0.3339696201840622,0.8241104878466239,0.8577200535360898,0.8687788273521679,0.20443289009959725,0.529886382700482,0.26568072719992064
g0_R3_R5_R7_to_R6,R6,0.3062182529834999,0.3644423685181512,0.3339696201840622,0.8241104878466239,0.8577200535360898,0.8687788273521679,0.05303629711149609,0.7884924662297061,0.1584712366587977
g0_R3_R5_to_R2,R2,0.42085087813899785,0.4150001609842645,0.41899091270940864,0.784317109576054,0.8275700542411013,0.833424232042348,0.424565488085049,0.2667784692583264,0.30865604265662455
g0_R3_R5_to_R4,R4,0.42085087813899785,0.4150001609842645,0.41899091270940864,0.784317109576054,0.8275700542411013,0.833424232042348,0.40728319215799313,0.289650845789873,0.3030659620521338
g0_R3_R5_to_R6,R6,0.42085087813899785,0.4150001609842645,0.41899091270940864,0.784317109576054,0.8275700542411013,0.833424232042348,0.434702394168573,0.25938348436110337,0.3059141214703236
g0_R3_R5_to_R7,R7,0.42085087813899785,0.4150001609842645,0.41899091270940864,0.784317109576054,0.8275700542411013,0.833424232042348,0.434702394168573,0.25938348436110337,0.3059141214703236
g0_R3_R6_R7_to_R2,R2,0.7419949386364052,0.5597205384234974,0.6204807939784249,0.6206340155686413,0.7049109341064645,0.6967758950254478,0.9316064354498383,0.03341029329011721,0.034983271260044406
g0_R3_R6_R7_to_R4,R4,0.7419949386364052,0.5597205384234974,0.6204807939784249,0.6206340155686413,0.7049109341064645,0.6967758950254478,0.916879564191571,0.018620515456300193,0.06449992035212884
g0_R3_R6_R7_to_R5,R5,0.7419949386364052,0.5597205384234974,0.6204807939784249,0.6206340155686413,0.7049109341064645,0.6967758950254478,0.9980812245738945,8.551106309319872e-05,0.0018332643630123058
g0_R3_R6_to_R2,R2,0.2791540785498489,0.41288112952043665,0.3317003628823224,0.7701859039794474,0.7771604459436166,0.8302693207430257,0.03447504261117728,0.9205244068603333,0.045000550528489336
g0_R3_R6_to_R4,R4,0.2791540785498489,0.41288112952043665,0.3317003628823224,0.7701859039794474,0.7771604459436166,0.8302693207430257,0.05821415076686889,0.8188089668763235,0.12297688235680754
g0_R3_R6_to_R5,R5,0.2791540785498489,0.41288112952043665,0.3317003628823224,0.7701859039794474,0.7771604459436166,0.8302693207430257,0.001268565864271055,0.9857678594744445,0.012963574661284446
g0_R3_R6_to_R7,R7,0.2791540785498489,0.41288112952043665,0.3317003628823224,0.7701859039794474,0.7771604459436166,0.8302693207430257,0.001268565864271055,0.9857678594744445,0.012963574661284446
g0_R3_R7_to_R2,R2,0.28091927346115037,0.3356449806544883,0.34325394555475713,0.7040634461518562,0.7778688002552843,0.8220570969333881,0.06774480433644356,0.4318695747823689,0.5003856208811875
g0_R3_R7_to_R4,R4,0.28091927346115037,0.3356449806544883,0.34325394555475713,0.7040634461518562,0.7778688002552843,0.8220570969333881,0.18746341970693398,0.4204060316275755,0.3921305486654906
g0_R3_R7_to_R5,R5,0.28091927346115037,0.3356449806544883,0.34325394555475713,0.7040634461518562,0.7778688002552843,0.8220570969333881,0.03823496778123357,0.442818046054484,0.5189469861642825
g0_R3_R7_to_R6,R6,0.28091927346115037,0.3356449806544883,0.34325394555475713,0.7040634461518562,0.7778688002552843,0.8220570969333881,0.03823496778123357,0.442818046054484,0.5189469861642825
g0_R3_to_R2,R2,0.9596624813148622,0.9672541135291992,0.9667781566075112,0.691401962923859,0.7994617870052811,0.7808759991040852,0.33704673008004904,0.32181494075892964,0.3411383291610213
g0_R3_to_R4,R4,0.9596624813148622,0.9672541135291992,0.9667781566075112,0.691401962923859,0.7994617870052811,0.7808759991040852,0.3883426557009771,0.29373733961483744,0.31792000468418546
g0_R3_to_R5,R5,0.9596624813148622,0.9672541135291992,0.9667781566075112,0.691401962923859,0.7994617870052811,0.7808759991040852,0.337459329718573,0.32053511936177365,0.34200555091965334
g0_R3_to_R6,R6,0.9596624813148622,0.9672541135291992,0.9667781566075112,0.691401962923859,0.7994617870052811,0.7808759991040852,0.337459329718573,0.32053511936177365,0.34200555091965334
g0_R3_to_R7,R7,0.9596624813148622,0.9672541135291992,0.9667781566075112,0.691401962923859,0.7994617870052811,0.7808759991040852,0.337459329718573,0.32053511936177365,0.34200555091965334
g0_R4_R5_R6_to_R2,R2,0.6142398189971147,0.6066380240988287,0.5738495363079263,0.7117086914238224,0.7967273352914803,0.7633633054935305,0.5989855744862886,0.3060590327932652,0.09495539272044629
g0_R4_R5_R6_to_R3,R3,0.6142398189971147,0.6066380240988287,0.5738495363079263,0.7117086914238224,0.7967273352914803,0.7633633054935305,0.5072025153539619,0.30718533456656144,0.18561215007947662
g0_R4_R5_R6_to_R7,R7,0.6142398189971147,0.6066380240988287,0.5738495363079263,0.7117086914238224,0.7967273352914803,0.7633633054935305,0.6285024901699503,0.3030285549554798,0.06846895487456994
g0_R4_R5_R7_to_R2,R2,0.663964425555622,0.6355209204722064,0.6090865756114259,0.7618734485967491,0.8184248302635192,0.7928197061902739,0.7592153613695951,0.16683042829089817,0.07395421033950675
g0_R4_R5_R7_to_R3,R3,0.663964425555622,0.6355209204722064,0.6090865756114259,0.7618734485967491,0.8184248302635192,0.7928197061902739,0.5807100212748921,0.2506979663255191,0.1685920123995888
g0_R4_R5_R7_to_R6,R6,0.663964425555622,0.6355209204722064,0.6090865756114259,0.7618734485967491,0.8184248302635192,0.7928197061902739,0.8065355867069575,0.1483301055084054,0.04513430778463714
g0_R4_R5_to_R2,R2,0.4412457277079783,0.4420857023245247,0.464104435287992,0.7814555715477354,0.8378880023504689,0.8299346283424138,0.24691132802789262,0.1985568037358291,0.5545318682362783
g0_R4_R5_to_R3,R3,0.4412457277079783,0.4420857023245247,0.464104435287992,0.7814555715477354,0.8378880023504689,0.8299346283424138,0.3351709145333628,0.25283527730167504,0.41199380816496206
g0_R4_R5_to_R6,R6,0.4412457277079783,0.4420857023245247,0.464104435287992,0.7814555715477354,0.8378880023504689,0.8299346283424138,0.23730888299395478,0.18358163378055084,0.5791094832254944
g0_R4_R5_to_R7,R7,0.4412457277079783,0.4420857023245247,0.464104435287992,0.7814555715477354,0.8378880023504689,0.8299346283424138,0.23730888299395478,0.18358163378055084,0.5791094832254944
g0_R4_R6_R7_to_R2,R2,0.761757222669349,0.654203252659246,0.6303183285792556,0.649989774179048,0.7345128172047011,0.7076795558588586,0.9291484268386652,0.03647150298168564,0.03438007017964914
g0_R4_R6_R7_to_R3,R3,0.761757222669349,0.654203252659246,0.6303183285792556,0.649989774179048,0.7345128172047011,0.7076795558588586,0.8706772108220688,0.07684543793607529,0.05247735124185587
g0_R4_R6_R7_to_R5,R5,0.761757222669349,0.654203252659246,0.6303183285792556,0.649989774179048,0.7345128172047011,0.7076795558588586,0.9953501038948132,0.003486855164835894,0.0011630409403509004
g0_R4_R6_to_R2,R2,0.5280493069549366,0.5064719377361822,0.459791389839377,0.6789602869793987,0.7773473983227945,0.778053126974953,0.7484334929730729,0.2019456406535748,0.04962086637335232
g0_R4_R6_to_R3,R3,0.5280493069549366,0.5064719377361822,0.459791389839377,0.6789602869793987,0.7773473983227945,0.778053126974953,0.6146356051237055,0.2768650159937986,0.10849937888249585
g0_R4_R6_to_R5,R5,0.5280493069549366,0.5064719377361822,0.459791389839377,0.6789602869793987,0.7773473983227945,0.778053126974953,0.794555732933044,0.1873470081336016,0.018097258933354433
g0_R4_R6_to_R7,R7,0.5280493069549366,0.5064719377361822,0.459791389839377,0.6789602869793987,0.7773473983227945,0.778053126974953,0.794555732933044,0.1873470081336016,0.018097258933354433
g0_R4_R7_to_R2,R2,0.6328293068857445,0.4052339105209498,0.3668045736727962,0.6762634773934301,0.8029177693240916,0.7859476158511615,0.9333260788577591,0.033339592601278556,0.03333432854096234
g0_R4_R7_to_R3,R3,0.6328293068857445,0.4052339105209498,0.3668045736727962,0.6762634773934301,0.8029177693240916,0.7859476158511615,0.9904380849166244,0.006359377537381072,0.0032025375459944472
g0_R4_R7_to_R5,R5,0.6328293068857445,0.4052339105209498,0.3668045736727962,0.6762634773934301,0.8029177693240916,0.7859476158511615,0.9999919394715842,6.954742161360093e-06,1.1057862544500644e-06
g0_R4_R7_to_R6,R6,0.6328293068857445,0.4052339105209498,0.3668045736727962,0.6762634773934301,0.8029177693240916,0.7859476158511615,0.9999919394715842,6.954742161360093e-06,1.1057862544500644e-06
