task,fold_e_out,target_env,n_sources,lb_basis,f1_rf,f1_stacking,f1_soft_equal,f1_route_b,f1_soft_calibrated,f1_hard_voting,macro_f1_4class_route_b,worst_class_f1_route_b,accuracy_route_b,gain_vs_stacking,gain_vs_rf,gain_vs_soft_equal,regret_route_b_vs_oracle3,regret_always_rf,regret_always_stacking,regret_always_soft_equal
g0_R2_R7_to_R4,R4,R4,2,per_round_min,0.8331048567628148,0.7634332779548262,0.7978656350591427,0.8001899753600135,0.809000371411248,0.8024915711126205,0.7502374692000169,0.6198198198198198,0.8062601187263896,0.03675669740518728,-0.0329148814028013,0.0023243403008708086,0.0329148814028013,0.0,0.06967157880798858,0.03523922170367211
g0_R2_R7_to_R5,R5,R5,2,per_round_min,0.6193006721153218,0.6008946897827764,0.5459794560564855,0.5474217489080542,0.565550099767069,0.549620552174076,0.4342771861350677,0.0,0.5980176211453745,-0.05347294087472221,-0.07187892320726763,0.0014422928515687161,0.07187892320726763,0.0,0.018405982332545423,0.07332121605883635
g0_R2_R7_to_R6,R6,R6,2,per_round_min,0.7518566016731629,0.6155174995011239,0.7783663464643439,0.7788497853814172,0.7910554235951068,0.7811394348688336,0.7235622317267716,0.6609756097560976,0.7746478873239436,0.16333228588029336,0.02699318370825432,0.0004834389170733644,-0.0004834389170733644,0.026509744791180956,0.16284884696322,0.0
g0_R2_to_R3,R3,R3,1,single_round_overall,0.5525575101442647,0.5293501963392562,0.5264737925190655,0.5259191781624946,0.5317593397277645,0.529566981215367,0.4083976411451955,0.0,0.5508982035928144,-0.0034310181767616132,-0.026638331981770125,-0.0005546143565708928,0.026638331981770125,0.0,0.02320731380500851,0.026083717625199232
g0_R2_to_R4,R4,R4,1,single_round_overall,0.5879190029361334,0.4556030512949477,0.45693829580440504,0.4600046607205804,0.5088287824977462,0.4624471036561616,0.32500582590072546,0.05568445475638051,0.5029681597409607,0.004401609425632669,-0.12791434221555303,0.003066364916175346,0.12791434221555303,0.0,0.1323159516411857,0.13098070713172838
g0_R2_to_R5,R5,R5,1,single_round_overall,0.5684245705839173,0.5449837581753731,0.5374380493638867,0.5384858941042747,0.542017047096771,0.5374113730333594,0.42310736763034335,0.005509641873278237,0.5831497797356828,-0.006497864071098425,-0.029938676479642545,0.0010478447403879931,0.029938676479642545,0.0,0.02344081240854412,0.03098652122003054
g0_R2_to_R6,R6,R6,1,single_round_overall,0.2831573371181265,0.2810810810810811,0.2810810810810811,0.2810810810810811,0.2810810810810811,0.2810810810810811,0.10135135135135136,0.0,0.4024144869215292,0.0,-0.002076256037045421,0.0,0.002076256037045421,0.0,0.002076256037045421,0.002076256037045421
g0_R2_to_R7,R7,R7,1,single_round_overall,0.28036253776435044,0.28036253776435044,0.28036253776435044,0.28036253776435044,0.28036253776435044,0.28036253776435044,0.10045317220543806,0.0,0.4039136979427998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g0_R3_R4_R5_to_R2,R2,R2,3,per_round_min,0.8262527671183302,0.7321605397577721,0.828469855820954,0.8322091802944884,0.8333122602847883,0.8281076072687192,0.7902614753681105,0.6141732283464567,0.8359030837004405,0.10004864053671636,0.005956413176158248,0.003739324473534422,-0.003739324473534422,0.002217088702623826,0.09630931606318194,0.0
g0_R3_R4_R5_to_R6,R6,R6,3,per_round_min,0.7556775592504165,0.6261093329773271,0.7168314967579097,0.7370204195121317,0.7421596396855135,0.7269792648904649,0.6712755243901647,0.5246422893481717,0.7389336016096579,0.11091108653480464,-0.018657139738284756,0.020188922754222016,0.018657139738284756,0.0,0.1295682262730894,0.03884606249250677
g0_R3_R4_R5_to_R7,R7,R7,3,per_round_min,0.8048099592689717,0.6689966327340112,0.7468892680284487,0.7766636896397887,0.777861512799569,0.7574171062433852,0.720829612049736,0.6022544283413849,0.7802308078273958,0.10766705690577749,-0.028146269629182985,0.02977442161134003,0.028146269629182985,0.0,0.13581332653496048,0.057920691240523015
g0_R3_R4_R6_to_R2,R2,R2,3,per_round_min,0.8501474198023358,0.8309346252097537,0.8106540265609088,0.854530745042991,0.8387629014540782,0.8199653743905028,0.8181634313037386,0.7022900763358778,0.8557268722466961,0.023596119833237283,0.0043833252406552115,0.04387671848208219,-0.0043833252406552115,0.0,0.019212794592582072,0.03949339324142698
g0_R3_R4_R6_to_R5,R5,R5,3,per_round_min,0.6402894352401071,0.7101675125497902,0.6279570409842659,0.646708877016885,0.6422539953389615,0.6262818598046177,0.5583860962711062,0.2324561403508772,0.6811674008810573,-0.0634586355329052,0.00641944177677789,0.018751836032619096,0.0634586355329052,0.0698780773096831,0.0,0.0822104715655243
g0_R3_R4_R6_to_R7,R7,R7,3,per_round_min,0.8388432623012895,0.7545024798067955,0.8716913038965888,0.8458165582379481,0.8718283234392971,0.870679074912428,0.8072706977974351,0.7238805970149254,0.8464626191670848,0.09131407843115258,0.00697329593665863,-0.025874745658640674,0.025874745658640674,0.032848041595299304,0.11718882408979325,0.0
g0_R3_R4_R7_to_R2,R2,R2,3,per_round_min,0.8502409166824106,0.8323739147396736,0.816252965908216,0.8579430397662767,0.8405534716025278,0.8180513174888981,0.8224287997078459,0.7184170471841704,0.8584801762114538,0.025569125026603134,0.007702123083866086,0.04169007385806067,-0.007702123083866086,0.0,0.01786700194273705,0.033987950774194586
g0_R3_R4_R7_to_R5,R5,R5,3,per_round_min,0.6368564312541782,0.6953910163329167,0.6311740404119581,0.6377186154950725,0.6309424867051195,0.6288380599333723,0.5471482693688405,0.22818791946308725,0.6751101321585903,-0.057672400837844195,0.0008621842408942371,0.006544575083114346,0.057672400837844195,0.05853458507873843,0.0,0.06421697592095854
g0_R3_R4_R7_to_R6,R6,R6,3,per_round_min,0.7758726574941364,0.7184704610156529,0.8011079600087893,0.7813042964676604,0.8062839505867896,0.8002377024861327,0.7266303705845756,0.6683107274969173,0.778169014084507,0.06283383545200749,0.0054316389735240556,-0.019803663541128835,0.019803663541128835,0.02523530251465289,0.08263749899313633,0.0
g0_R3_R4_to_R2,R2,R2,2,per_round_min,0.8097991283932819,0.6370202122940894,0.7885377539437706,0.818855465337364,0.797404750664821,0.7885906206958839,0.7735693316717048,0.6257668711656442,0.8199339207048458,0.18183525304327453,0.009056336944082033,0.030317711393593405,-0.009056336944082033,0.0,0.1727789160991925,0.021261374449511372
g0_R3_R4_to_R5,R5,R5,2,per_round_min,0.625551852021447,0.5930813605651208,0.6307370148799629,0.6277768432221299,0.6243585270700425,0.6285134080990921,0.5347210540276623,0.09476309226932668,0.6784140969162996,0.03469548265700906,0.0022249912006828687,-0.0029601716578330217,0.0029601716578330217,0.00518516285851589,0.03765565431484208,0.0
