filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,selected_features,extra_trees,20,0.5661404463799673,0.46914903485829546,0.5621163838877898,0.5030969431969087,0.9319640564826701,0.019230769230769232,0.5570342205323194,0.008583690987124463,0.99867197875166
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,selected_features,xgboost,20,0.583015786608601,0.4822113076377083,0.579011166857961,0.5165262213137545,0.9477806788511749,0.05844155844155844,0.577736890524379,0.0,0.99867197875166
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,selected_features,lightgbm,20,0.5895481763745237,0.4881154256120685,0.5855779349756205,0.5195460784007243,0.9341935483870968,0.08108108108108109,0.5747747747747748,0.009009009009009009,0.99867197875166
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,selected_features,stacking,20,0.5846488840500816,0.48685700084430417,0.5806491608672455,0.5196976733006422,0.9564068692206077,0.06359300476947535,0.5798165137614679,0.0,0.99867197875166
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,rf,94,0.8083700440528634,0.814255723120555,0.8084345974485851,0.8097991283932819,0.9464544138929089,0.6501457725947521,0.7657894736842106,0.6866059817945384,1.0
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,extra_trees,94,0.7769823788546255,0.7834438319386539,0.7770280417128218,0.776909835366751,0.935672514619883,0.5548780487804879,0.7281921618204804,0.6658064516129032,1.0
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,xgboost,94,0.7786343612334802,0.7844321532025695,0.778674996387855,0.7752091537055984,0.9466089466089466,0.5154975530179445,0.7480916030534351,0.6658476658476659,1.0
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,lightgbm,94,0.7951541850220264,0.7985736299094626,0.795228173939223,0.7923449332233496,0.9586305278174037,0.5451664025356577,0.7591623036649214,0.6987654320987654,1.0
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,stacking,94,0.7990088105726872,0.8004978080955023,0.7990925832914784,0.7956733166605012,0.9732016925246827,0.5483359746434231,0.7574578469520103,0.6993710691823899,1.0
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,selected_features,rf,60,0.8083700440528634,0.8112339455271751,0.8084135396332062,0.808439856947941,0.9514285714285714,0.6275659824046921,0.7787839586028461,0.6844207723035952,1.0
